gene_names	output_lfcs	ci_highs	ci_lows	output_pvalues	pertss	n_cells	experiment	gene_pert	scaled_to_per_exp_moi1	scaled_to_mean_exp_moi1	ci_high_scaled_to_per_exp_moi1	ci_low_scaled_to_per_exp_moi1	ci_high_to_mean_exp_moi1	ci_low_to_mean_exp_moi1	experiment_use
1	GATA1	-0.852491059088673	-0.697977206309298	-1.00700491186805	1.11756773062078e-29	GATA1.TSS.1	95	moi1_lsg	GATA1_GATA1.TSS.1	1	1.10353534555308	x	x	0.903519760519376	1.30355093058679	moi1_combined_reps
2	GATA1	-1.210682843354	-1.10389802086682	-1.31746766584117	1.15933003645872e-88	GATA1.TSS.2	162	moi1_lsg	GATA1_GATA1.TSS.2	1	0.928813913109403	x	x	0.846890534596629	1.01073729162217	moi1_combined_reps
3	GATA1	-0.374945357139173	-0.265941043786273	-0.483949670492074	3.30316642734943e-12	e.GATA1.2	146	moi1_lsg	GATA1_e.GATA1.2	1	1.18959441802946	x	x	0.843754897051973	1.53543393900695	moi1_combined_reps
4	GATA1	-0.351119993316838	-0.251562155769552	-0.450677830864124	1.82791637295524e-12	e.GATA1.1	204	moi1_lsg	GATA1_e.GATA1.1	1	1.43797239990107	x	x	1.03024448547938	1.84570031432276	moi1_combined_reps
5	GATA1	-0.320038208044256	-0.24390398441383	-0.396172431674682	2.82937268515355e-16	GATA1.TSS.1	485	moi20_hsg	GATA1_GATA1.TSS.1	0.37541532504327	0.414284080447548	x	x	0.315729607779843	0.512838553115254	moi20_hsg
6	GATA1	-0.643879578509354	-0.588293572161851	-0.699465584856858	9.10208554683799e-80	GATA1.TSS.2	744	moi20_hsg	GATA1_GATA1.TSS.2	0.531831752670741	0.493972731313943	x	x	0.451328155690224	0.536617306937662	moi20_hsg
7	GATA1	-0.0705896176954124	0.00744312572741546	-0.14862236111824	5.17243068456462e-14	e.GATA1.1	484	moi20_hsg	GATA1_e.GATA1.1	0.201041293685931	0.289091831560774	x	x	-0.0304824833923912	0.608666146513938	moi20_hsg
8	GATA1	-0.0964019216456321	-0.0142751018777815	-0.178528741413483	1.08108489115706e-08	e.GATA1.2	459	moi20_hsg	GATA1_e.GATA1.2	0.257109255549068	0.305855735224881	x	x	0.0452908168811048	0.566420653568657	moi20_hsg
9	GATA1	-0.692527072906748	-0.573779958818704	-0.811274186994792	2.58849007979087e-41	GATA1.TSS.1	121	moi1_multi_moi	GATA1_GATA1.TSS.1	1	0.896464654446917	x	x	0.742748511407638	1.0501807974862	moi1_combined_reps
10	GATA1	-1.39626097233666	-1.29646449100222	-1.49605745367111	1.73967529761308e-197	GATA1.TSS.2	201	moi1_multi_moi	GATA1_GATA1.TSS.2	1	1.0711860868906	x	x	0.994624036927122	1.14774813685408	moi1_combined_reps
