gene_names	output_lfcs	ci_highs	ci_lows	output_pvalues	pertss	n_cells	experiment	gene_pert	scaled_to_per_exp_moi1	scaled_to_mean_exp_moi1
GATA1	-0.852491059088673	-0.697977206309298	-1.00700491186805	1.11756773062078e-29	GATA1.TSS.1	95	moi1_lsg	GATA1_GATA1.TSS.1	1	1.11549294781394
GATA1	-1.210682843354	-1.10389802086682	-1.31746766584117	1.15933003645872e-88	GATA1.TSS.2	162	moi1_lsg	GATA1_GATA1.TSS.2	1	0.93354461212502
GATA1	-0.374945357139173	-0.265941043786273	-0.483949670492074	3.30316642734943e-12	e.GATA1.2	146	moi1_lsg	GATA1_e.GATA1.2	1	1.23395003964367
GATA1	-0.351119993316838	-0.251562155769552	-0.450677830864124	1.82791637295524e-12	e.GATA1.1	204	moi1_lsg	GATA1_e.GATA1.1	1	1.77927204967155
GATA1	-0.320038208044256	-0.24390398441383	-0.396172431674682	2.82937268515355e-16	GATA1.TSS.1	485	moi20_hsg	GATA1_GATA1.TSS.1	0.37541532504327	0.418773147587048
GATA1	-0.643879578509354	-0.588293572161851	-0.699465584856858	9.10208554683799e-80	GATA1.TSS.2	744	moi20_hsg	GATA1_GATA1.TSS.2	0.531831752670741	0.496488667262776
GATA1	-0.0705896176954124	0.00744312572741546	-0.14862236111824	5.17243068456462e-14	e.GATA1.1	484	moi20_hsg	GATA1_e.GATA1.1	0.201041293685931	0.357707154685186
GATA1	-0.0964019216456321	-0.0142751018777815	-0.178528741413483	1.08108489115706e-08	e.GATA1.2	459	moi20_hsg	GATA1_e.GATA1.2	0.257109255549068	0.317259976077526
GATA1	-0.692527072906748	-0.573779958818704	-0.811274186994792	2.58849007979087e-41	GATA1.TSS.1	121	moi1_multi_moi	GATA1_GATA1.TSS.1	1	0.906178496257234
GATA1	-1.39626097233666	-1.29646449100222	-1.49605745367111	1.73967529761308e-197	GATA1.TSS.2	201	moi1_multi_moi	GATA1_GATA1.TSS.2	1	1.07664192567087
GATA1	-0.137234294068641	-0.062074190140642	-0.212394397996641	0.000883372478567545	e.GATA1.1	178	moi1_multi_moi	GATA1_e.GATA1.1	1	0.695423639611439
GATA1	-0.255429754674588	-0.160090469495296	-0.35076903985388	1.01718310225727e-07	e.GATA1.2	127	moi1_multi_moi	GATA1_e.GATA1.2	1	0.84062263982079
GATA1	-0.667281818497913	-0.582565506938956	-0.75199813005687	3.41730241462274e-78	GATA1.TSS.1	247	moi3_multi_moi	GATA1_GATA1.TSS.1	0.9635461841183	0.873144832198717
GATA1	-1.59301185259838	-1.50617810326203	-1.67984560193473	0	GATA1.TSS.2	379	moi3_multi_moi	GATA1_GATA1.TSS.2	1.1409126833449	1.22835442841877
GATA1	-0.256558879894302	-0.191075999380691	-0.322041760407913	6.07338435236021e-16	e.GATA1.1	261	moi3_multi_moi	GATA1_e.GATA1.1	1.8694953884193	1.30009128725135
GATA1	-0.299050075410999	-0.247994547924928	-0.350105602897071	6.35441215899468e-37	e.GATA1.2	325	moi3_multi_moi	GATA1_e.GATA1.2	1.17077227667537	0.984177681847847
GATA1	-0.780853999967806	-0.659538851982125	-0.902169147953488	8.94444184528973e-52	GATA1.TSS.1	98	moi5_multi_moi	GATA1_GATA1.TSS.1	1.127542922893	1.02175515033266
GATA1	-1.18876987927498	-1.07807921182867	-1.29946054672129	6.70909797404254e-145	GATA1.TSS.2	170	moi5_multi_moi	GATA1_GATA1.TSS.2	0.851395192465746	0.916647759523238
GATA1	-0.307666103407957	-0.22070983169148	-0.394622375124435	4.74475928144854e-13	e.GATA1.1	100	moi5_multi_moi	GATA1_e.GATA1.1	2.24190393149157	1.55907299169706
GATA1	-0.195544366597388	-0.104086095295466	-0.28700263789931	4.71791272032846e-06	e.GATA1.2	127	moi5_multi_moi	GATA1_e.GATA1.2	0.76555046159954	0.643539049945829
GATA1	-0.814011756915463	-0.745164145672369	-0.882859368158556	1.32531330904157e-141	GATA1.TSS.1	395	moi6_multi_moi	GATA1_GATA1.TSS.1	1.17542228854506	1.065142401901
GATA1	-1.85773428656956	-1.7829692079136	-1.93249936522552	0	GATA1.TSS.2	604	moi6_multi_moi	GATA1_GATA1.TSS.2	1.33050649081784	1.43247907039171
GATA1	-0.295700267872248	-0.241281034615592	-0.350119501128905	6.97897866283729e-34	e.GATA1.1	399	moi6_multi_moi	GATA1_e.GATA1.1	2.15471118118877	1.49843709193375
GATA1	-0.308039252038721	-0.255875007833604	-0.360203496243839	8.12170764102777e-36	e.GATA1.2	432	moi6_multi_moi	GATA1_e.GATA1.2	1.20596463959791	1.01376117886932
GATA1	-0.766257562813856	-0.696879982400796	-0.835635143226917	1.24585870500937e-130	GATA1.TSS.1	394	moi9_multi_moi	GATA1_GATA1.TSS.1	1.10646585930228	1.00265556854251
GATA1	-1.77735648856099	-1.70483702636236	-1.84987595075962	0	GATA1.TSS.2	531	moi9_multi_moi	GATA1_GATA1.TSS.2	1.27294003325651	1.37050060866882
GATA1	-0.252794760866864	-0.192391723238903	-0.313197798494826	2.31107287706681e-20	e.GATA1.1	353	moi9_multi_moi	GATA1_e.GATA1.1	1.84206697445773	1.28101691978543
GATA1	-0.281352435394973	-0.230301176804	-0.332403693985947	6.54248027708711e-32	e.GATA1.2	396	moi9_multi_moi	GATA1_e.GATA1.2	1.10148653493173	0.925934518721363
GATA1	-0.670529367342152	-0.587142434720908	-0.753916299963396	1.09027039529989e-75	GATA1.TSS.1	339	moi14_multi_moi	GATA1_GATA1.TSS.1	0.968235602007204	0.877394281849606
GATA1	-1.63009619303752	-1.54810471402767	-1.71208767204737	0	GATA1.TSS.2	536	moi14_multi_moi	GATA1_GATA1.TSS.2	1.16747243196917	1.25694976732294
GATA1	-0.179831529212606	-0.114437470381326	-0.245225588043886	2.09335672398413e-14	e.GATA1.1	361	moi14_multi_moi	GATA1_e.GATA1.1	1.31039788875701	0.911281669138546
GATA1	-0.188010680047717	-0.124397576943331	-0.251623783152104	5.85023423683311e-16	e.GATA1.2	400	moi14_multi_moi	GATA1_e.GATA1.2	0.736056299655608	0.61874558967322
