experiment,lab,n_audit_error,n_audit_notcompliant,n_audit_warning
ENCSR000APD,"Bradley Bernstein, Broad",0,7,27
ENCSR000BIV,"Richard Myers, HAIB",0,0,10
ENCSR000AQG,"Bradley Bernstein, Broad",0,1,14
ENCSR000AKQ,"Bradley Bernstein, Broad",0,6,36
ENCSR000AKO,"Bradley Bernstein, Broad",0,2,10
ENCSR000BHM,"Richard Myers, HAIB",0,0,5
ENCSR000ATW,"Bradley Bernstein, Broad",1,2,15
ENCSR000AND,"Bradley Bernstein, Broad",0,0,8
ENCSR000AVA,"Bradley Bernstein, Broad",0,1,9
ENCSR000BJW,"Richard Myers, HAIB",0,1,6
ENCSR000AUB,"Bradley Bernstein, Broad",0,0,8
ENCSR000BKH,"Richard Myers, HAIB",0,4,7
ENCSR000AKX,"Bradley Bernstein, Broad",0,4,4
ENCSR000ATR,"Bradley Bernstein, Broad",0,3,6
ENCSR000BKM,"Richard Myers, HAIB",0,0,9
ENCSR000AVB,"Bradley Bernstein, Broad",0,0,7
ENCSR000ATQ,"Bradley Bernstein, Broad",0,0,6
ENCSR000AKT,"Bradley Bernstein, Broad",0,2,8
ENCSR000ATX,"Bradley Bernstein, Broad",0,6,8
ENCSR000ATZ,"Bradley Bernstein, Broad",0,0,8
ENCSR000AQD,"Bradley Bernstein, Broad",0,0,8
ENCSR000ATJ,"Bradley Bernstein, Broad",0,0,12
ENCSR000BKD,"Richard Myers, HAIB",0,0,7
ENCSR000AKU,"Bradley Bernstein, Broad",0,1,10
ENCSR000ASY,"Bradley Bernstein, Broad",0,1,12
ENCSR000BIW,"Richard Myers, HAIB",0,1,6
ENCSR000BJA,"Richard Myers, HAIB",0,0,4
ENCSR000ATM,"Bradley Bernstein, Broad",0,4,9
ENCSR000ANC,"Bradley Bernstein, Broad",0,0,5
ENCSR000APC,"Bradley Bernstein, Broad",0,0,9
ENCSR000AKV,"Bradley Bernstein, Broad",0,1,12
ENCSR000BIP,"Richard Myers, HAIB",0,0,4
ENCSR000BIT,"Richard Myers, HAIB",0,0,6
ENCSR000APX,"Bradley Bernstein, Broad",0,0,3
ENCSR000ATT,"Bradley Bernstein, Broad",0,0,7
ENCSR000AUQ,"Bradley Bernstein, Broad",0,0,6
ENCSR000AQJ,"Bradley Bernstein, Broad",0,3,15
ENCSR000AQE,"Bradley Bernstein, Broad",0,0,7
ENCSR000AKR,"Bradley Bernstein, Broad",0,6,29
ENCSR000AUS,"Bradley Bernstein, Broad",0,0,2
ENCSR000AQK,"Bradley Bernstein, Broad",0,1,8
ENCSR000AQA,"Bradley Bernstein, Broad",0,1,14
ENCSR000ATY,"Bradley Bernstein, Broad",0,3,3
ENCSR000BKO,"Richard Myers, HAIB",0,0,7
ENCSR000BHO,"Richard Myers, HAIB",0,0,6
ENCSR000AVC,"Bradley Bernstein, Broad",0,1,5
ENCSR000BGW,"Richard Myers, HAIB",0,0,9
ENCSR000AUA,"Bradley Bernstein, Broad",0,3,5
ENCSR000BIS,"Richard Myers, HAIB",0,0,6
ENCSR000ATS,"Bradley Bernstein, Broad",0,0,10
ENCSR000AQF,"Bradley Bernstein, Broad",0,1,15
ENCSR000AQI,"Bradley Bernstein, Broad",0,3,11
ENCSR000AUT,"Bradley Bernstein, Broad",0,0,4
ENCSR000APY,"Bradley Bernstein, Broad",0,2,5
ENCSR000AMH,"Bradley Bernstein, Broad",0,2,5
ENCSR000AKW,"Bradley Bernstein, Broad",0,3,5
ENCSR000AVE,"Bradley Bernstein, Broad",0,0,4
ENCSR000AQC,"Bradley Bernstein, Broad",0,0,8
ENCSR000AMG,"Bradley Bernstein, Broad",0,1,4
ENCSR000ATL,"Bradley Bernstein, Broad",0,4,9
ENCSR000ATK,"Bradley Bernstein, Broad",0,0,10
ENCSR000AUC,"Bradley Bernstein, Broad",0,4,8
ENCSR000BKF,"Richard Myers, HAIB",0,0,6
ENCSR000ATV,"Bradley Bernstein, Broad",0,0,4
ENCSR000AVD,"Bradley Bernstein, Broad",0,0,7
ENCSR000AQH,"Bradley Bernstein, Broad",0,0,12
ENCSR000BIQ,"Richard Myers, HAIB",0,0,6
ENCSR000BHN,"Richard Myers, HAIB",0,0,6
ENCSR000ANP,"Bradley Bernstein, Broad",0,0,5
ENCSR000ANB,"Bradley Bernstein, Broad",0,2,5
ENCSR000ANA,"Bradley Bernstein, Broad",0,2,3
ENCSR000AKP,"Bradley Bernstein, Broad",1,0,35
ENCSR000BGX,"Richard Myers, HAIB",0,0,5
ENCSR000ATU,"Bradley Bernstein, Broad",0,3,5
ENCSR000BIC,"Richard Myers, HAIB",0,0,4
ENCSR000APZ,"Bradley Bernstein, Broad",0,1,7
ENCSR000ALU,"Bradley Bernstein, Broad",0,2,5
ENCSR000BKK,"Richard Myers, HAIB",0,0,7
ENCSR000AKS,"Bradley Bernstein, Broad",0,4,33
ENCSR000APE,"Bradley Bernstein, Broad",0,5,4
ENCSR000BKS,"Richard Myers, HAIB",1,6,7
ENCSR000DJY,"Kevin White, UChicago",0,2,10
ENCSR000DJX,"Kevin White, UChicago",0,0,12
ENCSR000EBQ,"Michael Snyder, Stanford",0,0,8
ENCSR000BKU,"Richard Myers, HAIB",1,6,8
ENCSR000DOG,"Kevin Struhl, HMS",0,4,2
ENCSR000DJZ,"Kevin White, UChicago",0,1,7
ENCSR000BSO,"Richard Myers, HAIB",0,0,1
ENCSR000BMU,"Richard Myers, HAIB",0,0,10
ENCSR000EBS,"Michael Snyder, Stanford",0,0,11
ENCSR000DLJ,"Vishwanath Iyer, UTA",2,0,4
ENCSR000DOF,"Kevin Struhl, HMS",0,4,4
ENCSR000EBT,"Michael Snyder, Stanford",0,0,8
ENCSR000DOE,"Kevin Struhl, HMS",2,2,2
ENCSR000BMV,"Richard Myers, HAIB",0,4,10
ENCSR000BKP,"Richard Myers, HAIB",0,2,9
ENCSR000DKA,"Kevin White, UChicago",0,1,6
