cellset,term_name,experiment,assay,target,investigated_as,biosample_summary,lab,n_audit_error,n_audit_notcompliant,n_audit_warning,endogenous_tag,keep,exclude_reason,file,output_type,preferred_default,file_size,md5sum,href
K562,K562,ENCSR659CCI,TF ChIP-seq,FOXK1,transcription factor,Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens FOXK1,"Richard Myers, HAIB",0,0,6,3xFLAG,True,,ENCFF516ZWP,IDR thresholded peaks,True,146262.0,75c1c9c3f112abc93a360893ca845141,https://www.encodeproject.org/files/ENCFF516ZWP/@@download/ENCFF516ZWP.bed.gz
K562,K562,ENCSR279OXE,TF ChIP-seq,ZFP30,transcription factor,Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens ZFP30,"Michael Snyder, Stanford",0,0,7,eGFP,True,,ENCFF141HPL,IDR thresholded peaks,True,17530.0,f7288daa4ec0aac4b16b283806eb2079,https://www.encodeproject.org/files/ENCFF141HPL/@@download/ENCFF141HPL.bed.gz
K562,K562,ENCSR427WZJ,TF ChIP-seq,ZNF143,transcription factor,Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF143,"Richard Myers, HAIB",0,0,3,3xFLAG,True,,ENCFF596HNP,IDR thresholded peaks,True,140479.0,1dca3862eddaf90f497f993c1033238a,https://www.encodeproject.org/files/ENCFF596HNP/@@download/ENCFF596HNP.bed.gz
K562,K562,ENCSR506SSQ,TF ChIP-seq,ZNF354C,transcription factor,Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF354C,"Michael Snyder, Stanford",0,0,7,eGFP,True,,ENCFF604RBX,IDR thresholded peaks,True,104777.0,451a9251eccca092cb25694413b0268c,https://www.encodeproject.org/files/ENCFF604RBX/@@download/ENCFF604RBX.bed.gz
K562,K562,ENCSR008DOU,TF ChIP-seq,SNAPC5,transcription factor,Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens SNAPC5,"Michael Snyder, Stanford",0,0,7,eGFP,True,,ENCFF656THP,IDR thresholded peaks,True,13127.0,27215ed734f62f7ef788380f8747740e,https://www.encodeproject.org/files/ENCFF656THP/@@download/ENCFF656THP.bed.gz
K562,K562,ENCSR358PJI,TF ChIP-seq,ZNF277,transcription factor,Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF277,"Michael Snyder, Stanford",0,0,8,eGFP,True,,ENCFF382QUI,IDR thresholded peaks,True,30047.0,515ac40710530b651921061fceb40e77,https://www.encodeproject.org/files/ENCFF382QUI/@@download/ENCFF382QUI.bed.gz
K562,K562,ENCSR696URR,TF ChIP-seq,ZNF512,transcription factor,Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF512,"Richard Myers, HAIB",0,0,3,3xFLAG,True,,ENCFF817EJA,IDR thresholded peaks,True,67312.0,e902146507b7f8d5255d3e1b4b7f0f69,https://www.encodeproject.org/files/ENCFF817EJA/@@download/ENCFF817EJA.bed.gz
K562,K562,ENCSR744GHR,TF ChIP-seq,E2F5,transcription factor,Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens E2F5,"Richard Myers, HAIB",0,0,5,3xFLAG,True,,ENCFF173QUY,IDR thresholded peaks,True,100306.0,8a96fec76b8ca5f6a49053f771395398,https://www.encodeproject.org/files/ENCFF173QUY/@@download/ENCFF173QUY.bed.gz
K562,K562,ENCSR427XYP,TF ChIP-seq,ZNF740,transcription factor,Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF740,"Richard Myers, HAIB",0,0,3,3xFLAG,True,,ENCFF959SMC,IDR thresholded peaks,True,251360.0,c4629ee079fe91c3549958447238a8cd,https://www.encodeproject.org/files/ENCFF959SMC/@@download/ENCFF959SMC.bed.gz
K562,K562,ENCSR015KAM,TF ChIP-seq,DMTF1,transcription factor,Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens DMTF1,"Richard Myers, HAIB",0,0,7,3xFLAG,True,,ENCFF505INE,IDR thresholded peaks,True,99744.0,4d10b06c88fac5df35372a65bdcf6fd7,https://www.encodeproject.org/files/ENCFF505INE/@@download/ENCFF505INE.bed.gz
