cellset,term_name,experiment,assay,target,investigated_as,biosample_summary,lab,n_audit_error,n_audit_notcompliant,n_audit_warning,endogenous_tag,keep,exclude_reason,file,output_type,preferred_default,file_size,md5sum,href
iPSC_ESC,WTC11,ENCSR444BFV,TF ChIP-seq,ZNF532,transcription factor,Homo sapiens WTC11 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF532,"Michael Snyder, Stanford",0,0,5,eGFP,True,,ENCFF795EGN,IDR thresholded peaks,True,62020,17f8b94811badbee0a45d7e29b4dca41,https://www.encodeproject.org/files/ENCFF795EGN/@@download/ENCFF795EGN.bed.gz
iPSC_ESC,WTC11,ENCSR905MSY,TF ChIP-seq,FOXJ3,transcription factor,Homo sapiens WTC11 genetically modified (insertion) using CRISPR targeting H. sapiens FOXJ3,"Richard Myers, HAIB",0,0,6,3xFLAG,True,,ENCFF117RRT,IDR thresholded peaks,True,14972,67c2f9f4178006a4c90cd8780a2c32a2,https://www.encodeproject.org/files/ENCFF117RRT/@@download/ENCFF117RRT.bed.gz
iPSC_ESC,WTC11,ENCSR110QIL,TF ChIP-seq,RORB,transcription factor,Homo sapiens WTC11 genetically modified (insertion) using CRISPR targeting H. sapiens RORB,"Michael Snyder, Stanford",0,0,4,eGFP,True,,ENCFF989FMK,IDR thresholded peaks,True,14868,6b6c827d0c4a0f89ba676bd7a6d1c039,https://www.encodeproject.org/files/ENCFF989FMK/@@download/ENCFF989FMK.bed.gz
iPSC_ESC,WTC11,ENCSR499FDW,TF ChIP-seq,ZSCAN18,transcription factor,Homo sapiens WTC11 genetically modified (insertion) using CRISPR targeting H. sapiens ZSCAN18,"Michael Snyder, Stanford",0,0,6,eGFP,True,,ENCFF969PVK,IDR thresholded peaks,True,29834,1bc4039b65353774297942c93daa847e,https://www.encodeproject.org/files/ENCFF969PVK/@@download/ENCFF969PVK.bed.gz
iPSC_ESC,WTC11,ENCSR413CVQ,TF ChIP-seq,ZNF423,transcription factor,Homo sapiens WTC11 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF423,"Michael Snyder, Stanford",0,0,6,eGFP,True,,ENCFF717YTN,IDR thresholded peaks,True,283969,23f80d951e4447cd728ad8564278e1f7,https://www.encodeproject.org/files/ENCFF717YTN/@@download/ENCFF717YTN.bed.gz
iPSC_ESC,WTC11,ENCSR260GQA,TF ChIP-seq,ZNF671,transcription factor,Homo sapiens WTC11 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF671,"Michael Snyder, Stanford",0,0,4,eGFP,True,,ENCFF300TKM,IDR thresholded peaks,True,53925,5bf5c54b985c8f1233bbae985b6cc2f7,https://www.encodeproject.org/files/ENCFF300TKM/@@download/ENCFF300TKM.bed.gz
iPSC_ESC,WTC11,ENCSR440UPD,TF ChIP-seq,EMX1,transcription factor,Homo sapiens WTC11 genetically modified (insertion) using CRISPR targeting H. sapiens EMX1,"Michael Snyder, Stanford",0,0,4,eGFP,True,,ENCFF149LMA,IDR thresholded peaks,True,78072,ff3f1173cbb5168c7a805d9e2bdbc3c5,https://www.encodeproject.org/files/ENCFF149LMA/@@download/ENCFF149LMA.bed.gz
iPSC_ESC,WTC11,ENCSR804OBA,TF ChIP-seq,JUN,transcription factor,Homo sapiens WTC11 genetically modified (insertion) using CRISPR targeting H. sapiens JUN,"Richard Myers, HAIB",0,0,5,3xFLAG,True,,ENCFF459NUP,IDR thresholded peaks,True,105962,aa6b66081ca641d71fd81e9bd237ed49,https://www.encodeproject.org/files/ENCFF459NUP/@@download/ENCFF459NUP.bed.gz
iPSC_ESC,WTC11,ENCSR963CCJ,TF ChIP-seq,ARID4B,transcription factor,Homo sapiens WTC11 genetically modified (insertion) using CRISPR targeting H. sapiens ARID4B,"Richard Myers, HAIB",0,0,4,3xFLAG,True,,ENCFF413VSG,IDR thresholded peaks,True,259360,45364be7058e112e1909766c0c380de2,https://www.encodeproject.org/files/ENCFF413VSG/@@download/ENCFF413VSG.bed.gz
iPSC_ESC,WTC11,ENCSR203PCF,TF ChIP-seq,ZNF121,transcription factor,Homo sapiens WTC11 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF121,"Richard Myers, HAIB",0,0,1,3xFLAG,True,,ENCFF974DKV,IDR thresholded peaks,True,541324,f2b0d25d70cd6eeb46fa584639921abb,https://www.encodeproject.org/files/ENCFF974DKV/@@download/ENCFF974DKV.bed.gz
