cell,target,assay,effect_sign,background,pos_overlap,pos_total,pos_frac,bg_overlap,bg_total,bg_frac,odds_ratio,log2_OR,p_value,FDR
K562,ZNF184,TF ChIP-seq,neg,all,6,18,0.3333333333333333,18,599,0.03005008347245409,16.13888888888889,4.030765544210636,2.4545604433591885e-05,0.009030960779548652
K562,E2F8,TF ChIP-seq,neg,all,7,18,0.3888888888888889,32,599,0.05342237061769616,11.275568181818182,3.5094374087013285,4.4644863095296345e-05,0.009030960779548652
K562,TRIM28,TF ChIP-seq,neg,all,7,18,0.3888888888888889,33,599,0.05509181969949917,10.914600550964188,3.463171594914249,5.322766667710404e-05,0.009030960779548652
K562,MTA2,TF ChIP-seq,neg,all,8,18,0.4444444444444444,52,599,0.08681135225375626,8.415384615384616,3.0776150552939923,0.00010201482501432583,0.012981386483072963
K562,LARP7,TF ChIP-seq,neg,all,5,18,0.2777777777777778,17,599,0.028380634390651086,13.167420814479637,3.7613753390705047,0.0002266818101766645,0.019230173563320373
K562,SMAD4,TF ChIP-seq,neg,all,12,18,0.6666666666666666,144,599,0.24040066777963273,6.319444444444445,2.5997980329350043,0.00020658680066882516,0.019230173563320373
K562,TRIM25,TF ChIP-seq,neg,all,4,18,0.2222222222222222,9,599,0.015025041736227046,18.73015873015873,4.269809742268312,0.00030980563740534646,0.022527295634188763
K562,NCOA1,TF ChIP-seq,neg,all,7,18,0.3888888888888889,52,599,0.08681135225375626,6.694055944055944,2.7657982763739186,0.0007087163723879662,0.04509207919318436
K562,SMARCA5,TF ChIP-seq,neg,all,6,18,0.3333333333333333,40,599,0.0667779632721202,6.9875,2.8447278464581367,0.0011622870882421672,0.05916041279152631
K562,HDGF,TF ChIP-seq,neg,all,6,18,0.3333333333333333,40,599,0.0667779632721202,6.9875,2.8447278464581367,0.0011622870882421672,0.05916041279152631
K562,TRIM24,TF ChIP-seq,neg,all,9,18,0.5,99,599,0.1652754590984975,5.05050505050505,2.330601638292345,0.0013598617950525758,0.06292451397106918
K562,LCOR,TF ChIP-seq,neg,all,6,18,0.3333333333333333,44,599,0.07345575959933222,6.306818181818182,2.6984931987890617,0.0018367384948422137,0.07790832448955723
K562,NKRF,TF ChIP-seq,neg,all,6,18,0.3333333333333333,47,599,0.07846410684474124,5.872340425531915,2.5965585743142134,0.0025155496000547344,0.0847934215541516
K562,ZNF319,TF ChIP-seq,neg,all,4,18,0.2222222222222222,17,599,0.028380634390651086,9.781512605042018,3.3687752289114163,0.002235304599372837,0.0847934215541516
K562,RLF,TF ChIP-seq,neg,all,5,18,0.2777777777777778,31,599,0.05175292153589316,7.0471464019851116,2.8782807318661603,0.0025143599201313304,0.0847934215541516
K562,TCF12,TF ChIP-seq,neg,all,7,18,0.3888888888888889,66,599,0.11018363939899833,5.139118457300276,2.387390664874741,0.0026654120724291263,0.0847934215541516
K562,EGR1,TF ChIP-seq,neg,all,8,18,0.4444444444444444,91,599,0.15191986644407346,4.465934065934066,2.1695495440450365,0.0036353798567638033,0.10382601566319091
K562,MTA1,TF ChIP-seq,neg,all,7,18,0.3888888888888889,70,599,0.11686143572621036,4.8090909090909095,2.2922641611450487,0.0036716469193269867,0.10382601566319091
K562,TCF3,TF ChIP-seq,neg,all,10,18,0.5555555555555556,141,599,0.2353923205342237,4.060283687943262,2.0009742622915927,0.004041890475579677,0.10828011853000291
K562,CREB1,TF ChIP-seq,neg,all,6,18,0.3333333333333333,53,599,0.08848080133555926,5.150943396226415,2.4091942276371254,0.004434779649182685,0.11286514207169933
K562,TOE1,TF ChIP-seq,neg,all,6,18,0.3333333333333333,54,599,0.09015025041736227,5.046296296296297,2.3798345899130484,0.004839883302932168,0.1151968309991935
K562,ZC3H8,TF ChIP-seq,neg,all,3,18,0.16666666666666666,10,599,0.01669449081803005,11.78,3.6641891918717313,0.004979037882086949,0.1151968309991935
K562,BCOR,TF ChIP-seq,neg,all,7,18,0.3888888888888889,76,599,0.12687813021702837,4.3791866028708135,2.157986523789662,0.00571225602679264,0.12159047347922812
K562,ZBTB33,TF ChIP-seq,neg,all,6,18,0.3333333333333333,56,599,0.09348914858096828,4.848214285714286,2.322540790978489,0.005733146097252406,0.12159047347922812
K562,NBN,TF ChIP-seq,neg,all,7,18,0.3888888888888889,77,599,0.1285475792988314,4.31404958677686,2.1364914612455133,0.006123900780063429,0.12468261988209141
K562,ZKSCAN1,TF ChIP-seq,neg,all,4,18,0.2222222222222222,25,599,0.041736227045075125,6.56,2.805681746989358,0.007641663905630585,0.14549536511232286
K562,GATAD2A,TF ChIP-seq,neg,all,6,18,0.3333333333333333,60,599,0.1001669449081803,4.491666666666666,2.21319944057979,0.007883989914391664,0.14549536511232286
K562,ZEB2,TF ChIP-seq,neg,all,7,18,0.3888888888888889,81,599,0.1352253756260434,4.069584736251403,2.052800664133654,0.008003674308732889,0.14549536511232286
K562,ZMIZ1,TF ChIP-seq,neg,all,5,18,0.2777777777777778,42,599,0.07011686143572621,5.1007326007326,2.417981175143794,0.008355374313032625,0.14665122501150366
K562,AFF1,TF ChIP-seq,neg,all,6,18,0.3333333333333333,62,599,0.10350584307178631,4.330645161290323,2.160920188181103,0.00916014773300375,0.15541717320329695
K562,RAD21,TF ChIP-seq,neg,all,12,18,0.6666666666666666,212,599,0.35392320534223703,3.650943396226415,1.8101499407701682,0.010811654852470208,0.1748766759535516
K562,ZNF639,TF ChIP-seq,neg,all,3,18,0.16666666666666666,14,599,0.02337228714524207,8.357142857142858,3.188702977044372,0.01099421145484018,0.1748766759535516
K562,E2F1,TF ChIP-seq,neg,all,3,18,0.16666666666666666,15,599,0.025041736227045076,7.786666666666667,3.09002151581551,0.012951370372756045,0.18396148958475095
K562,NR2C1,TF ChIP-seq,neg,all,5,18,0.2777777777777778,47,599,0.07846410684474124,4.517184942716858,2.2445191624216747,0.012904498765000124,0.18396148958475095
K562,BRD9,TF ChIP-seq,neg,all,6,18,0.3333333333333333,67,599,0.11185308848080133,3.970149253731343,2.036405646428737,0.013011028732909694,0.18396148958475095
K562,STAT6,TF ChIP-seq,neg,all,3,18,0.16666666666666666,15,599,0.025041736227045076,7.786666666666667,3.09002151581551,0.012951370372756045,0.18396148958475095
K562,TBP,TF ChIP-seq,neg,all,5,18,0.2777777777777778,48,599,0.08013355592654424,4.415064102564102,2.2118483498780837,0.013986680969681945,0.19241136793427324
K562,DDX20,TF ChIP-seq,neg,all,4,18,0.2222222222222222,32,599,0.05342237061769616,5.0625,2.438052775464563,0.016626382927502868,0.2227060239499726
K562,ADNP,TF ChIP-seq,neg,all,5,18,0.2777777777777778,51,599,0.08514190317195326,4.132730015082957,2.117391399693803,0.01760777399753273,0.224058924118604
