target,assay
FOXK1,TF ChIP-seq
ZFP30,TF ChIP-seq
ZNF143,TF ChIP-seq
ZNF354C,TF ChIP-seq
SNAPC5,TF ChIP-seq
DMTF1,TF ChIP-seq
ZNF124,TF ChIP-seq
ZNF431,TF ChIP-seq
MXD1,TF ChIP-seq
DLX4,TF ChIP-seq
TCFL5,TF ChIP-seq
ZFP1,TF ChIP-seq
HMGXB4,TF ChIP-seq
CHCHD3,TF ChIP-seq
ZNF257,TF ChIP-seq
ZBTB17,TF ChIP-seq
FOXA3,TF ChIP-seq
TBPL1,TF ChIP-seq
TEAD1,TF ChIP-seq
ZNF561,TF ChIP-seq
ERF,TF ChIP-seq
ZNF586,TF ChIP-seq
ZBTB43,TF ChIP-seq
ZNF212,TF ChIP-seq
FOXP4,TF ChIP-seq
JUNB,TF ChIP-seq
ZBTB11,TF ChIP-seq
HDGF,TF ChIP-seq
ATF4,TF ChIP-seq
HMG20A,TF ChIP-seq
MTA2,TF ChIP-seq
HMBOX1,TF ChIP-seq
ZNF436,TF ChIP-seq
L3MBTL2,TF ChIP-seq
ZNF695,TF ChIP-seq
ATF2,TF ChIP-seq
FOXM1,TF ChIP-seq
ZBTB9,TF ChIP-seq
ZEB2,TF ChIP-seq
ZNF347,TF ChIP-seq
RAD21,TF ChIP-seq
E2F1,TF ChIP-seq
CTBP1,TF ChIP-seq
ZNF282,TF ChIP-seq
RFX5,TF ChIP-seq
CEBPZ,TF ChIP-seq
BCOR,TF ChIP-seq
SMARCA5,TF ChIP-seq
MEF2D,TF ChIP-seq
FOXA1,TF ChIP-seq
ZBTB2,TF ChIP-seq
DNMT1,TF ChIP-seq
KLF16,TF ChIP-seq
NCOA2,TF ChIP-seq
SUZ12,TF ChIP-seq
IKZF1,TF ChIP-seq
ARID3A,TF ChIP-seq
THRAP3,TF ChIP-seq
ATF3,TF ChIP-seq
TAF1,TF ChIP-seq
SPI1,TF ChIP-seq
CHD7,TF ChIP-seq
ZZZ3,TF ChIP-seq
XRCC4,TF ChIP-seq
CTCF,TF ChIP-seq
POLR2AphosphoS2,TF ChIP-seq
MXI1,TF ChIP-seq
KDM5B,TF ChIP-seq
CREB1,TF ChIP-seq
SMARCB1,TF ChIP-seq
NELFE,TF ChIP-seq
HDAC2,TF ChIP-seq
GTF2B,TF ChIP-seq
CHD2,TF ChIP-seq
E2F8,TF ChIP-seq
IRF1,TF ChIP-seq
LEF1,TF ChIP-seq
RFX1,TF ChIP-seq
GABPB1,TF ChIP-seq
PKNOX1,TF ChIP-seq
FOXK2,TF ChIP-seq
TAL1,TF ChIP-seq
SNIP1,TF ChIP-seq
ZBTB40,TF ChIP-seq
POLR2B,TF ChIP-seq
YBX1,TF ChIP-seq
SMARCE1,TF ChIP-seq
TARDBP,TF ChIP-seq
SKIL,TF ChIP-seq
TFE3,TF ChIP-seq
