target,assay
SMAD4,TF ChIP-seq
ZMAT4,TF ChIP-seq
ZNF416,TF ChIP-seq
TRERF1,TF ChIP-seq
E2F1,TF ChIP-seq
USF1,TF ChIP-seq
ZNF281,TF ChIP-seq
MAX,TF ChIP-seq
FOXP4,TF ChIP-seq
ERG,TF ChIP-seq
MXD4,TF ChIP-seq
JAZF1,TF ChIP-seq
TGIF2,TF ChIP-seq
ZBTB21,TF ChIP-seq
E2F5,TF ChIP-seq
STAT6,TF ChIP-seq
TP53,TF ChIP-seq
ATF1,TF ChIP-seq
KAT7,TF ChIP-seq
E2F4,TF ChIP-seq
ZNF138,TF ChIP-seq
ZNF232,TF ChIP-seq
ZNF219,TF ChIP-seq
TEAD1,TF ChIP-seq
FOXP1,TF ChIP-seq
ATF6,TF ChIP-seq
NFE2L1,TF ChIP-seq
ZKSCAN8,TF ChIP-seq
SIX4,TF ChIP-seq
SP1,TF ChIP-seq
ZNF512,TF ChIP-seq
ZNF263,TF ChIP-seq
ETV6,TF ChIP-seq
ZNF317,TF ChIP-seq
ELF4,TF ChIP-seq
CTCF,TF ChIP-seq
ATF2,TF ChIP-seq
ARID4B,TF ChIP-seq
ZNF121,TF ChIP-seq
RELA,TF ChIP-seq
SMAD3,TF ChIP-seq
NR3C1,TF ChIP-seq
FOXK1,TF ChIP-seq
ESRRA,TF ChIP-seq
HMGXB4,TF ChIP-seq
USF2,TF ChIP-seq
CBFB,TF ChIP-seq
ZNF184,TF ChIP-seq
ZBTB43,TF ChIP-seq
GABPB1,TF ChIP-seq
IRF2,TF ChIP-seq
PREB,TF ChIP-seq
IRF1,TF ChIP-seq
TEAD4,TF ChIP-seq
ZNF143,TF ChIP-seq
OTX2,TF ChIP-seq
CREM,TF ChIP-seq
NFYB,TF ChIP-seq
ZSCAN18,TF ChIP-seq
PRDM15,TF ChIP-seq
ZBTB33,TF ChIP-seq
NR2C2,TF ChIP-seq
NR1H2,TF ChIP-seq
ZNF532,TF ChIP-seq
ZNF425,TF ChIP-seq
FOXJ3,TF ChIP-seq
RORB,TF ChIP-seq
ZNF396,TF ChIP-seq
ZNF423,TF ChIP-seq
ZNF671,TF ChIP-seq
EMX1,TF ChIP-seq
JUN,TF ChIP-seq
PRRX2,TF ChIP-seq
ATF3,TF ChIP-seq
CREB1,TF ChIP-seq
TCF7,TF ChIP-seq
GTF2I,TF ChIP-seq
HMGA2,TF ChIP-seq
NFATC4,TF ChIP-seq
AR,TF ChIP-seq
AFF4,TF ChIP-seq
MYBL2,TF ChIP-seq
MLX,TF ChIP-seq
H3K27me3,Histone ChIP-seq
H3K4me1,Histone ChIP-seq
H3K27ac,Histone ChIP-seq
H3K9me3,Histone ChIP-seq
H3K4me3,Histone ChIP-seq
H3K36me3,Histone ChIP-seq
RFX5,TF ChIP-seq
CTBP2,TF ChIP-seq
SRF,TF ChIP-seq
GTF2F1,TF ChIP-seq
NRF1,TF ChIP-seq
CHD7,TF ChIP-seq
RXRA,TF ChIP-seq
SAP30,TF ChIP-seq
HDAC2,TF ChIP-seq
HDAC6,TF ChIP-seq
JUND,TF ChIP-seq
YY1,TF ChIP-seq
EZH2,TF ChIP-seq
SP2,TF ChIP-seq
GABPA,TF ChIP-seq
MYC,TF ChIP-seq
EGR1,TF ChIP-seq
TBP,TF ChIP-seq
SP4,TF ChIP-seq
TAF7,TF ChIP-seq
MXI1,TF ChIP-seq
RAD21,TF ChIP-seq
NANOG,TF ChIP-seq
BRCA1,TF ChIP-seq
BCL11A,TF ChIP-seq
CHD2,TF ChIP-seq
POU5F1,TF ChIP-seq
TCF12,TF ChIP-seq
BACH1,TF ChIP-seq
EP300,TF ChIP-seq
CEBPB,TF ChIP-seq
SIN3A,TF ChIP-seq
SIRT6,TF ChIP-seq
CHD1,TF ChIP-seq
TAF1,TF ChIP-seq
KDM1A,TF ChIP-seq
KDM4A,TF ChIP-seq
E2F6,TF ChIP-seq
MAFK,TF ChIP-seq
SUZ12,TF ChIP-seq
RBBP5,TF ChIP-seq
PHF8,TF ChIP-seq
KDM5A,TF ChIP-seq
SIX5,TF ChIP-seq
ASH2L,TF ChIP-seq
POLR2A,TF ChIP-seq
RNF2,TF ChIP-seq
POLR2AphosphoS5,TF ChIP-seq
REST,TF ChIP-seq
FOSL1,TF ChIP-seq
H3K79me2,Histone ChIP-seq
H2BK20ac,Histone ChIP-seq
H3K9ac,Histone ChIP-seq
H3K79me1,Histone ChIP-seq
H2AFZ,Histone ChIP-seq
H2BK12ac,Histone ChIP-seq
H3K4me2,Histone ChIP-seq
H4K20me1,Histone ChIP-seq
H4K5ac,Histone ChIP-seq
H2AK5ac,Histone ChIP-seq
H2BK15ac,Histone ChIP-seq
H2BK5ac,Histone ChIP-seq
H3K23me2,Histone ChIP-seq
H2BK120ac,Histone ChIP-seq
H3K4ac,Histone ChIP-seq
H3K23ac,Histone ChIP-seq
H3K18ac,Histone ChIP-seq
H3K56ac,Histone ChIP-seq
H4K8ac,Histone ChIP-seq
H4K91ac,Histone ChIP-seq
H3T11ph,Histone ChIP-seq
H3K14ac,Histone ChIP-seq
