Pair_Category	Significant_Upregulated	Significant_Downregulated	Non_Significant_Well_Powered	Non_Significant_Under_Powered	Significant_Upregulated_no_Pos_Control	Significant_Downregulated_no_Pos_Control	Non_Significant_Well_Powered_no_Pos_Control	Non_Significant_Under_Powered_no_Pos_Control	Cell_Type
DistalElement_Gene	73	79	1864	3124	29	21	1810	3246	K562
selfPromoter	1	121	9	29	NA	NA	NA	NA	K562
DistalPromoter_Gene	43	34	1040	973	25	18	1028	1019	K562
Positive_Control_DistalElement_Gene	0	21	5	8	NA	NA	NA	NA	K562
Positive_Control_selfPromoter	0	32	2	5	NA	NA	NA	NA	K562
Random_DistalElement_Gene	71	54	1845	3089	28	18	1796	3217	K562
DistalElement_Gene	48	90	2800	1680	34	66	2920	1596	WTC11
selfPromoter	0	97	9	12	NA	NA	NA	NA	WTC11
DistalPromoter_Gene	29	23	1206	519	24	16	1265	472	WTC11
Positive_Control_DistalElement_Gene	0	0	1	1	NA	NA	NA	NA	WTC11
Positive_Control_selfPromoter	0	4	0	3	NA	NA	NA	NA	WTC11
Random_DistalElement_Gene	47	90	2794	1676	33	66	2915	1593	WTC11
