intended_target_name_hg38	targeting_chr_hg38	targeting_start_hg38	targeting_end_hg38	intended_target_name_hg19	targeting_chr_hg19	targeting_start_hg19	targeting_end_hg19	element_gene_pair_identifier_hg38	element_gene_pair_identifier_hg19	gene_symbol	gene_id	cell_type	fold_change_effect_size	log_2_FC_effect_size	pct_change_effect_size	standard_error_fold_change	standard_error_log_2_FC	standard_error_pct_change	lower_CI_95_fold_change	upper_CI_95_fold_change	lower_CI_95_log_2_FC	upper_CI_95_log_2_FC	lower_CI_95_pct_change	upper_CI_95_pct_change	sceptre_p_value	sceptre_adj_p_value	significant	distance_to_gencode_gene_TSS	distance_to_abc_canonical_TSS	chrTSS_hg38	startTSS_hg38	endTSS_hg38	element_location	gencode_promoter_overlap	abc_tss_overlap	gencode_protein_coding_gene_body_overlap	DistalElement_Gene	DistalPromoter_Gene	selfPromoter	Positive_Control_DistalElement_Gene	Positive_Control_selfPromoter	Random_DistalElement_Gene	power_at_effect_size_2	power_at_effect_size_3	power_at_effect_size_5	power_at_effect_size_10	power_at_effect_size_15	power_at_effect_size_20	power_at_effect_size_25	power_at_effect_size_50	intended_positive_control_distal_element_target_gene	intended_positive_control_target_gene	design_file_target_name	design_file_type	guide_ids	include_in_fdr	sceptre_adj_p_value_wo_pos_controls	significant_wo_pos_controls_20fdr	power_at_effect_size_2_wo_pos_controls_20fdr	power_at_effect_size_3_wo_pos_controls_20fdr	power_at_effect_size_5_wo_pos_controls_20fdr	power_at_effect_size_10_wo_pos_controls_20fdr	power_at_effect_size_15_wo_pos_controls_20fdr	power_at_effect_size_20_wo_pos_controls_20fdr	power_at_effect_size_25_wo_pos_controls_20fdr	power_at_effect_size_50_wo_pos_controls_20fdr	mean_sim_pert_cells	resized_merged_targeting_chr_hg38	resized_merged_targeting_start_hg38	resized_merged_targeting_end_hg38	resized_merged_element_gene_pair_identifier_hg38	ubiq_category	direct_rate_negative	indirect_rate_negative	direct_vs_indirect_negative	direct_rate_positive	indirect_rate_positive	direct_vs_indirect_positive	element_category
chr12:6944591-6944892	chr12	6944591	6944892	chr12:7053754-7054055	chr12	7053754	7054055	C12orf57|chr12:6944591-6944892	C12orf57|chr12:7053754-7054055	C12orf57	ENSG00000111678	WTC11	0.609439151	-0.714445911	-39.05608488	0.013833022	0.032746227	1.383302243	0.582326427	0.636551875	-0.778628516	-0.650263306	-41.76735728	-36.34481249	1.00E-250	3.87E-248	TRUE	1763	925.5	chr12	6942978	6942979	distal	NA	NA	C12orf57	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0.15	0.24	0.32	0.78	0.99	1	1	1	NA	NA	chr12:7053754-7054055	enh	"WTC11_Random_Screen_Crop_5436,WTC11_Random_Screen_Crop_5437,WTC11_Random_Screen_Crop_5438,WTC11_Random_Screen_Crop_5439,WTC11_Random_Screen_Crop_5440,WTC11_Random_Screen_Crop_5441,WTC11_Random_Screen_Crop_5442,WTC11_Random_Screen_Crop_5443,WTC11_Random_Screen_Crop_5444,WTC11_Random_Screen_Crop_5445,WTC11_Random_Screen_Crop_5446,WTC11_Random_Screen_Crop_5447,WTC11_Random_Screen_Crop_5448,WTC11_Random_Screen_Crop_5449,WTC11_Random_Screen_Crop_5450"	TRUE	1.61E-247	TRUE	0.17	0.24	0.33	0.78	0.99	1	1	1	844	chr12	6944492	6944991	C12orf57|chr12:6944492-6944991	Ubiq. expr. gene	1	0.005946309	0.994088841	0.011056759	0.007651007	0.591025088	High H3K27ac
chr12:7789145-7789645	chr12	7789145	7789645	chr12:7941741-7942241	chr12	7941741	7942241	SLC2A3|chr12:7789145-7789645	SLC2A3|chr12:7941741-7942241	SLC2A3	ENSG00000059804	WTC11	1.625472899	0.700859503	62.54728994	0.033044854	0.029329094	3.304485416	1.560704985	1.690240814	0.643374479	0.758344527	56.07049853	69.02408136	1.00E-250	3.87E-248	TRUE	146792	146901	chr12	7936274	7936275	promoter	NANOG	NANOG	NANOG	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	0.09	0.05	0.18	0.56	0.85	0.99	1	1	NA	NANOG	NANOG_TSS	tss_random	"WTC11_Random_Screen_Crop_5665,WTC11_Random_Screen_Crop_5666,WTC11_Random_Screen_Crop_5667,WTC11_Random_Screen_Crop_5668,WTC11_Random_Screen_Crop_5669,WTC11_Random_Screen_Crop_5670,WTC11_Random_Screen_Crop_5671,WTC11_Random_Screen_Crop_5672,WTC11_Random_Screen_Crop_5673,WTC11_Random_Screen_Crop_NANOG"	TRUE	1.61E-247	TRUE	0.11	0.05	0.2	0.59	0.86	0.99	1	1	509	chr12	7789146	7789645	SLC2A3|chr12:7789146-7789645	Other gene	0.007159276	0.005946309	0.546276742	0.001348952	0.007651007	0.149884211	NA
chr2:70089449-70089750	chr2	70089449	70089750	chr2:70316581-70316882	chr2	70316581	70316882	PCBP1|chr2:70089449-70089750	PCBP1|chr2:70316581-70316882	PCBP1	ENSG00000169564	WTC11	0.812781453	-0.299060614	-18.72185475	0.010266372	0.01822291	1.026637178	0.792659364	0.832903541	-0.334777519	-0.26334371	-20.73406362	-16.70964588	1.00E-250	3.87E-248	TRUE	2122	2147.5	chr2	70087454	70087455	distal	NA	NA	NA	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.09	0.24	0.33	0.82	0.99	1	1	1	NA	NA	chr2:70316581-70316882	enh	"WTC11_Random_Screen_Crop_9779,WTC11_Random_Screen_Crop_9780,WTC11_Random_Screen_Crop_9781,WTC11_Random_Screen_Crop_9782,WTC11_Random_Screen_Crop_9783,WTC11_Random_Screen_Crop_9784,WTC11_Random_Screen_Crop_9785,WTC11_Random_Screen_Crop_9786,WTC11_Random_Screen_Crop_9787,WTC11_Random_Screen_Crop_9788,WTC11_Random_Screen_Crop_9789,WTC11_Random_Screen_Crop_9790,WTC11_Random_Screen_Crop_9791,WTC11_Random_Screen_Crop_9792,WTC11_Random_Screen_Crop_9793"	TRUE	1.61E-247	TRUE	0.11	0.27	0.34	0.83	0.99	1	1	1	783	chr2	70089350	70089849	PCBP1|chr2:70089350-70089849	Other gene	1	0.005946309	0.994088841	0.010123582	0.007651007	0.569553657	High H3K27ac
chr6:34235537-34235838	chr6	34235537	34235838	chr6:34203314-34203615	chr6	34203314	34203615	HMGA1|chr6:34235537-34235838	HMGA1|chr6:34203314-34203615	HMGA1	ENSG00000137309	WTC11	0.767798446	-0.381200455	-23.22015543	0.008739749	0.016422008	0.87397487	0.750668538	0.784928353	-0.413387591	-0.34901332	-24.93314617	-21.50716468	1.00E-250	3.87E-248	TRUE	1186	1111.5	chr6	34236873	34236874	distal	NA	NA	NA	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.14	0.19	0.34	0.76	1	1	1	1	NA	NA	chr6:34203314-34203615	enh	"WTC11_Random_Screen_Crop_14250,WTC11_Random_Screen_Crop_14251,WTC11_Random_Screen_Crop_14252,WTC11_Random_Screen_Crop_14253,WTC11_Random_Screen_Crop_14254,WTC11_Random_Screen_Crop_14255,WTC11_Random_Screen_Crop_14256,WTC11_Random_Screen_Crop_14257,WTC11_Random_Screen_Crop_14258,WTC11_Random_Screen_Crop_14259,WTC11_Random_Screen_Crop_14260,WTC11_Random_Screen_Crop_14261,WTC11_Random_Screen_Crop_14262,WTC11_Random_Screen_Crop_14263,WTC11_Random_Screen_Crop_14264"	TRUE	1.61E-247	TRUE	0.16	0.21	0.35	0.78	1	1	1	1	899	chr6	34235438	34235937	HMGA1|chr6:34235438-34235937	Other gene	1	0.005946309	0.994088841	0.013351638	0.007651007	0.635712223	H3K27ac
chr1:26279471-26279971	chr1	26279471	26279971	chr1:26605962-26606462	chr1	26605962	26606462	SH3BGRL3|chr1:26279471-26279971	SH3BGRL3|chr1:26605962-26606462	SH3BGRL3	ENSG00000142669	WTC11	0.609044919	-0.715379459	-39.09550807	0.013584297	0.032178246	1.358429658	0.582419698	0.635670141	-0.778448821	-0.652310096	-41.7580302	-36.43298594	1.00E-250	3.87E-248	TRUE	365	0	chr1	26279176	26279177	promoter	SH3BGRL3	SH3BGRL3	NA	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	0.14	0.25	0.41	0.83	1	1	1	1	NA	SH3BGRL3	SH3BGRL3_TSS	tss_random	"WTC11_Random_Screen_Crop_792,WTC11_Random_Screen_Crop_793,WTC11_Random_Screen_Crop_794,WTC11_Random_Screen_Crop_795,WTC11_Random_Screen_Crop_796,WTC11_Random_Screen_Crop_797,WTC11_Random_Screen_Crop_798,WTC11_Random_Screen_Crop_799,WTC11_Random_Screen_Crop_800,WTC11_Random_Screen_Crop_801,WTC11_Random_Screen_Crop_802,WTC11_Random_Screen_Crop_803,WTC11_Random_Screen_Crop_804,WTC11_Random_Screen_Crop_805,WTC11_Random_Screen_Crop_806"	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr1	26279472	26279971	SH3BGRL3|chr1:26279472-26279971	Other gene	1	0.005946309	0.994088841	0.023389097	0.007651007	0.753512209	NA
chr1:26410517-26411017	chr1	26410517	26411017	chr1:26737008-26737508	chr1	26737008	26737508	LIN28A|chr1:26410517-26411017	LIN28A|chr1:26737008-26737508	LIN28A	ENSG00000131914	WTC11	0.663484161	-0.591866069	-33.65158389	0.01503349	0.032689163	1.503349029	0.63401852	0.692949802	-0.655936829	-0.52779531	-36.59814799	-30.7050198	1.00E-250	3.87E-248	TRUE	50	0	chr1	26410778	26410779	promoter	LIN28A	LIN28A	LIN28A	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	0.11	0.15	0.28	0.77	0.99	0.99	1	1	NA	LIN28A	LIN28A_TSS	tss_random	"WTC11_Random_Screen_Crop_852,WTC11_Random_Screen_Crop_853,WTC11_Random_Screen_Crop_854,WTC11_Random_Screen_Crop_855,WTC11_Random_Screen_Crop_856,WTC11_Random_Screen_Crop_857,WTC11_Random_Screen_Crop_858,WTC11_Random_Screen_Crop_859,WTC11_Random_Screen_Crop_860,WTC11_Random_Screen_Crop_861,WTC11_Random_Screen_Crop_862,WTC11_Random_Screen_Crop_863,WTC11_Random_Screen_Crop_864,WTC11_Random_Screen_Crop_865,WTC11_Random_Screen_Crop_866"	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr1	26410518	26411017	LIN28A|chr1:26410518-26411017	Other gene	1	0.005946309	0.994088841	0.060218387	0.007651007	0.887268675	NA
chr1:26472160-26472660	chr1	26472160	26472660	chr1:26798651-26799151	chr1	26798651	26799151	HMGN2|chr1:26472160-26472660	HMGN2|chr1:26798651-26799151	HMGN2	ENSG00000198830	WTC11	0.698819703	-0.517007809	-30.11802965	0.011236053	0.023196538	1.123605285	0.67679704	0.720842367	-0.562473023	-0.471542595	-32.32029601	-27.91576329	1.00E-250	3.87E-248	TRUE	30	0	chr1	26472450	26472451	promoter	HMGN2	HMGN2	HMGN2	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	0.09	0.17	0.27	0.82	0.99	1	1	1	NA	HMGN2	HMGN2_TSS	tss_random	"WTC11_Random_Screen_Crop_867,WTC11_Random_Screen_Crop_868,WTC11_Random_Screen_Crop_869,WTC11_Random_Screen_Crop_870,WTC11_Random_Screen_Crop_871,WTC11_Random_Screen_Crop_872,WTC11_Random_Screen_Crop_873,WTC11_Random_Screen_Crop_874,WTC11_Random_Screen_Crop_875,WTC11_Random_Screen_Crop_876,WTC11_Random_Screen_Crop_877,WTC11_Random_Screen_Crop_878,WTC11_Random_Screen_Crop_879,WTC11_Random_Screen_Crop_880,WTC11_Random_Screen_Crop_881"	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr1	26472161	26472660	HMGN2|chr1:26472161-26472660	Ubiq. expr. gene	1	0.005946309	0.994088841	0.076784055	0.007651007	0.909385905	NA
chr11:57761511-57762011	chr11	57761511	57762011	chr11:57528983-57529483	chr11	57528983	57529483	CTNND1|chr11:57761511-57762011	CTNND1|chr11:57528983-57529483	CTNND1	ENSG00000198561	WTC11	0.509902575	-0.971706472	-49.00974254	0.016095027	0.045538535	1.609502727	0.478356321	0.541448828	-1.060962	-0.882450945	-52.16436789	-45.8551172	1.00E-250	3.87E-248	TRUE	8518	0	chr11	57753243	57753244	promoter	CTNND1	CTNND1	"CTNND1,TMX2-CTNND1,AP001931.1"	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	0.15	0.16	0.27	0.72	0.98	1	1	1	NA	CTNND1	CTNND1_TSS	tss_random	"WTC11_Random_Screen_Crop_3506,WTC11_Random_Screen_Crop_3507,WTC11_Random_Screen_Crop_3508,WTC11_Random_Screen_Crop_3509,WTC11_Random_Screen_Crop_3510,WTC11_Random_Screen_Crop_3511,WTC11_Random_Screen_Crop_3512,WTC11_Random_Screen_Crop_3513,WTC11_Random_Screen_Crop_3514,WTC11_Random_Screen_Crop_3515,WTC11_Random_Screen_Crop_3516,WTC11_Random_Screen_Crop_3517,WTC11_Random_Screen_Crop_3518,WTC11_Random_Screen_Crop_3519,WTC11_Random_Screen_Crop_3520"	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11	57761512	57762011	CTNND1|chr11:57761512-57762011	Other gene	0.314375925	0.005946309	0.981436478	0.005226155	0.007651007	0.405846827	NA
chr12:6867169-6867778	chr12	6867169	6867778	chr12:6976333-6976942	chr12	6976333	6976942	TPI1|chr12:6867169-6867778	TPI1|chr12:6976333-6976942	TPI1	ENSG00000111669	WTC11	0.712950566	-0.488126048	-28.70494342	0.012061308	0.024406726	1.20613078	0.689310402	0.736590729	-0.53596323	-0.440288865	-31.06895975	-26.34092709	1.00E-250	3.87E-248	TRUE	354	54.5	chr12	6867119	6867120	promoter	TPI1	TPI1	TPI1	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	0.09	0.25	0.42	0.79	0.98	1	1	1	NA	TPI1	TPI1_TSS_1_AND_TPI1_TSS_2	tss_random	"WTC11_Random_Screen_Crop_5285,WTC11_Random_Screen_Crop_5286,WTC11_Random_Screen_Crop_5287,WTC11_Random_Screen_Crop_5288,WTC11_Random_Screen_Crop_5289,WTC11_Random_Screen_Crop_5290,WTC11_Random_Screen_Crop_5291,WTC11_Random_Screen_Crop_5292,WTC11_Random_Screen_Crop_5293,WTC11_Random_Screen_Crop_5294,WTC11_Random_Screen_Crop_5295,WTC11_Random_Screen_Crop_5296,WTC11_Random_Screen_Crop_5297,WTC11_Random_Screen_Crop_5298,WTC11_Random_Screen_Crop_5299,WTC11_Random_Screen_Crop_5300,WTC11_Random_Screen_Crop_5301,WTC11_Random_Screen_Crop_5302"	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr12	6867170	6867778	TPI1|chr12:6867170-6867778	Other gene	1	0.005946309	0.994088841	0.023732082	0.007651007	0.756206062	NA
chr12:6867863-6868363	chr12	6867863	6868363	chr12:6977027-6977527	chr12	6977027	6977527	TPI1|chr12:6867863-6868363	TPI1|chr12:6977027-6977527	TPI1	ENSG00000111669	WTC11	0.681453169	-0.55331358	-31.85468314	0.011631817	0.024625558	1.163181711	0.658654807	0.70425153	-0.601579675	-0.505047486	-34.13451929	-29.57484698	1.00E-250	3.87E-248	TRUE	994	585	chr12	6867119	6867120	promoter	TPI1	TPI1	TPI1	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	0.09	0.17	0.29	0.8	0.99	1	1	1	NA	TPI1	TPI1_TSS_3	tss_random	"WTC11_Random_Screen_Crop_5303,WTC11_Random_Screen_Crop_5304,WTC11_Random_Screen_Crop_5305,WTC11_Random_Screen_Crop_5306,WTC11_Random_Screen_Crop_5307,WTC11_Random_Screen_Crop_5308,WTC11_Random_Screen_Crop_5309,WTC11_Random_Screen_Crop_5310,WTC11_Random_Screen_Crop_5311,WTC11_Random_Screen_Crop_5312,WTC11_Random_Screen_Crop_5313,WTC11_Random_Screen_Crop_5314,WTC11_Random_Screen_Crop_5315,WTC11_Random_Screen_Crop_5316,WTC11_Random_Screen_Crop_5317"	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr12	6867864	6868363	TPI1|chr12:6867864-6868363	Other gene	1	0.005946309	0.994088841	0.014521881	0.007651007	0.654938636	NA
