gene	gene_name	tpm	type	use	gene_name_v29
6	ENSG00000105193	RPS16	3557.883909	central_gene	yes	RPS16
8	ENSG00000131469	RPL27	2119.205627	central_gene	yes	RPL27
11	ENSG00000188536	HBA2	1075.337071	central_gene	yes	HBA2
12	ENSG00000104529	EEF1D	859.8109753	locus_gene	yes	EEF1D
13	ENSG00000172757	CFL1	796.4115475	locus_gene	yes	CFL1
14	ENSG00000198931	APRT	575.8797729	locus_gene	yes	APRT
15	ENSG00000112335	SNX3	538.7005685	central_gene	yes	SNX3
16	ENSG00000013306	SLC25A39	487.2244674	locus_gene	yes	SLC25A39
17	ENSG00000034510	TMSB10	480.1034922	central_gene	yes	TMSB10
18	ENSG00000167085	PHB	470.6020456	locus_gene	yes	PHB
19	ENSG00000143543	JTB	459.377624	locus_gene	yes	JTB
20	ENSG00000178982	EIF3K	444.1798219	locus_gene	yes	EIF3K
21	ENSG00000159199	ATP5G1	438.1081334	locus_gene	yes	ATP5MC1
22	ENSG00000179091	CYC1	407.2142971	locus_gene	yes	CYC1
23	ENSG00000160201	U2AF1	389.8048439	locus_gene	yes	U2AF1
24	ENSG00000232112	TMA7	388.2191017	locus_gene	yes	TMA7
25	ENSG00000103202	NME4	373.6973768	locus_gene	yes	NME4
26	ENSG00000198258	UBL5	369.265315	locus_gene	yes	UBL5
27	ENSG00000175334	BANF1	349.0997919	locus_gene	yes	BANF1
28	ENSG00000140990	NDUFB10	340.3444988	locus_gene	yes	NDUFB10
29	ENSG00000160213	CSTB	331.6210586	locus_gene	yes	CSTB
30	ENSG00000130811	EIF3G	320.5519197	locus_gene	yes	EIF3G
31	ENSG00000128626	MRPS12	317.0478383	locus_gene	yes	MRPS12
32	ENSG00000115310	RTN4	294.7181779	central_gene	yes	RTN4
33	ENSG00000074071	MRPS34	293.0501491	locus_gene	yes	MRPS34
34	ENSG00000174547	MRPL11	272.8238401	locus_gene	yes	MRPL11
35	ENSG00000175602	CCDC85B	272.0248638	locus_gene	yes	CCDC85B
36	ENSG00000103266	STUB1	270.7831327	locus_gene	yes	STUB1
37	ENSG00000005075	POLR2J	266.9966224	locus_gene	yes	POLR2J
38	ENSG00000158578	ALAS2	262.9544928	control	yes	ALAS2
39	ENSG00000184900	SUMO3	261.744349	locus_gene	yes	SUMO3
40	ENSG00000159210	SNF8	258.4136003	locus_gene	yes	SNF8
41	ENSG00000051523	CYBA	257.7032812	locus_gene	yes	CYBA
42	ENSG00000103275	UBE2I	257.1896536	locus_gene	yes	UBE2I
43	ENSG00000106400	ZNHIT1	255.1754903	locus_gene	yes	ZNHIT1
44	ENSG00000172336	POP7	252.3084662	locus_gene	yes	POP7
45	ENSG00000147689	FAM83A	244.4325779	control	yes	FAM83A
46	ENSG00000160932	LY6E	230.5824178	central_gene	yes	LY6E
47	ENSG00000137193	PIM1	230.4611114	control	yes	PIM1
48	ENSG00000172531	PPP1CA	225.4522471	locus_gene	yes	PPP1CA
49	ENSG00000175550	DRAP1	216.7245599	locus_gene	yes	DRAP1
50	ENSG00000127445	PIN1	216.5379551	locus_gene	yes	PIN1
51	ENSG00000143549	TPM3	209.7344469	central_gene	yes	TPM3
52	ENSG00000105364	MRPL4	209.0615549	locus_gene	yes	MRPL4
53	ENSG00000104903	LYL1	208.6238434	control	yes	LYL1
54	ENSG00000174851	YIF1A	205.6071108	locus_gene	yes	YIF1A
55	ENSG00000214253	FIS1	198.6907903	locus_gene	yes	FIS1
56	ENSG00000172354	GNB2	194.6860878	locus_gene	yes	GNB2
57	ENSG00000099341	PSMD8	194.1092854	locus_gene	yes	PSMD8
58	ENSG00000118640	VAMP8	188.5212297	locus_gene	yes	VAMP8
59	ENSG00000103254	FAM173A	188.16899	locus_gene	yes	FAM173A
60	ENSG00000168275	COA6	187.9600882	locus_gene	yes	COA6
61	ENSG00000178035	IMPDH2	182.5796071	locus_gene	yes	IMPDH2
62	ENSG00000087365	SF3B2	173.9604851	locus_gene	yes	SF3B2
63	ENSG00000167513	CDT1	173.6666423	locus_gene	yes	CDT1
64	ENSG00000136997	MYC	167.3380073	control	yes	MYC
65	ENSG00000143621	ILF2	167.0813262	locus_gene	yes	ILF2
66	ENSG00000102145	GATA1	162.3108276	control	yes	GATA1
67	ENSG00000099783	HNRNPM	160.961593	locus_gene	yes	HNRNPM
68	ENSG00000086506	HBQ1	157.6828706	locus_gene	yes	HBQ1
