chrom	chromStart	chromEnd	name	hg19_target_coords	EffectSize	chrTSS	startTSS	endTSS	measuredGeneSymbol	Significant	pValueAdjusted	PowerAtEffectSize10	PowerAtEffectSize15	PowerAtEffectSize2	PowerAtEffectSize20	PowerAtEffectSize25	PowerAtEffectSize3	PowerAtEffectSize5	PowerAtEffectSize50	ValidConnection	CellType	Reference	Regulated	Dataset	hg19_target_chr	hg19_target_start	hg19_target_end	target_name	target_type	TSS_control_gene	de_assigned_gene	abc_tss_overlap	distance_to_abc_canonical_TSS	protein_coding_gene_body_overlap	gencode_promoter_overlap	measuredGene_in_TSS_control	measuredGene_in_abc_tss	measuredGene_in_gencode_promoter	abc_or_gencode_overlap
chr1	2391524	2392024	PEX10|chr1:2322963-2323463:.	chr1:2322963-2323463	-0.00443648794569073	chr1	2413796	2413797	PEX10	FALSE	0.9872960635130664	0.65	0.96	0.1	1	1	0.18	0.3	1	overlaps potential promoter: RER1|MORN1; overlaps potential protein coding gene body: MORN1|RER1; TSS targeting guide(s)	WTC11	WTC11_DC_TAP_Seq	FALSE	WTC11_DC_TAP_Seq	chr1	2322963	2323463	RER1_TSS	tss_random	RER1	NA	MORN1,RER1	20797	MORN1,RER1	RER1,MORN1	FALSE	FALSE	FALSE	FALSE
chr1	2391524	2392024	RER1|chr1:2322963-2323463:.	chr1:2322963-2323463	-0.11107229334576664	chr1	2391775	2391776	RER1	TRUE	5.198989293552804e-4	0.56	0.92	0.08	0.98	1	0.1	0.19	1	overlaps target gene exon; overlaps target promoter; overlaps potential promoter: RER1|MORN1; overlaps potential protein coding gene body: MORN1|RER1; TSS targeting guide(s); distance <1000	WTC11	WTC11_DC_TAP_Seq	TRUE	WTC11_DC_TAP_Seq	chr1	2322963	2323463	RER1_TSS	tss_random	RER1	NA	MORN1,RER1	0	MORN1,RER1	RER1,MORN1	TRUE	TRUE	TRUE	TRUE
chr1	2412321	2412821	PEX10|chr1:2343760-2344260:.	chr1:2343760-2344260	-0.2761913950006405	chr1	2413796	2413797	PEX10	TRUE	7.2160418753505355e-25	0.56	0.91	0.05	0.99	1	0.16	0.14	1	overlaps target gene exon; overlaps target promoter; overlaps potential promoter: PEX10; overlaps potential protein coding gene body: PEX10; TSS targeting guide(s)	WTC11	WTC11_DC_TAP_Seq	TRUE	WTC11_DC_TAP_Seq	chr1	2343760	2344260	PEX10_TSS	tss_random	PEX10	NA	PEX10	0	PEX10	PEX10	TRUE	TRUE	TRUE	TRUE
chr1	2412321	2412821	RER1|chr1:2343760-2344260:.	chr1:2343760-2344260	-0.01780520552050613	chr1	2391775	2391776	RER1	FALSE	0.9231165285226718	0.44	0.88	0.05	0.97	1	0.09	0.18	1	overlaps potential promoter: PEX10; overlaps potential protein coding gene body: PEX10; TSS targeting guide(s)	WTC11	WTC11_DC_TAP_Seq	FALSE	WTC11_DC_TAP_Seq	chr1	2343760	2344260	PEX10_TSS	tss_random	PEX10	NA	PEX10	20797	PEX10	PEX10	FALSE	FALSE	FALSE	FALSE
chr1	2413758	2414059	PEX10|chr1:2345197-2345498:.	chr1:2345197-2345498	-0.02496508559312082	chr1	2413796	2413797	PEX10	FALSE	0.8149586776859504	0.54	0.96	0.1	0.99	1	0.07	0.17	1	overlaps target gene exon; overlaps target promoter; overlaps potential promoter: PEX10; overlaps potential protein coding gene body: PEX10; distance <1000	WTC11	WTC11_DC_TAP_Seq	FALSE	WTC11_DC_TAP_Seq	chr1	2345197	2345498	chr1:2345197-2345498	enh	NA	NA	NA	1337.5	PEX10	PEX10	FALSE	FALSE	TRUE	TRUE
chr1	2413758	2414059	RER1|chr1:2345197-2345498:.	chr1:2345197-2345498	-0.05336251423109639	chr1	2391775	2391776	RER1	FALSE	0.5679481641468683	0.51	0.88	0.08	0.96	1	0.05	0.15	1	overlaps potential promoter: PEX10; overlaps potential protein coding gene body: PEX10	WTC11	WTC11_DC_TAP_Seq	FALSE	WTC11_DC_TAP_Seq	chr1	2345197	2345498	chr1:2345197-2345498	enh	NA	NA	NA	22134.5	PEX10	PEX10	FALSE	FALSE	FALSE	FALSE
chr1	2546024	2546325	PEX10|chr1:2477463-2477764:.	chr1:2477463-2477764	0.01573251875642634	chr1	2413796	2413797	PEX10	FALSE	0.9341276990944972	0.51	0.85	0.05	1	1	0.08	0.1	1	NA	WTC11	WTC11_DC_TAP_Seq	FALSE	WTC11_DC_TAP_Seq	chr1	2477463	2477764	chr1:2477463-2477764	enh	NA	NA	NA	133603.5	NA	NA	FALSE	FALSE	FALSE	FALSE
chr1	2546024	2546325	RER1|chr1:2477463-2477764:.	chr1:2477463-2477764	-0.01677869600374049	chr1	2391775	2391776	RER1	FALSE	0.9175293244246472	0.46	0.8	0.04	0.97	1	0.04	0.07	1	NA	WTC11	WTC11_DC_TAP_Seq	FALSE	WTC11_DC_TAP_Seq	chr1	2477463	2477764	chr1:2477463-2477764	enh	NA	NA	NA	154400.5	NA	NA	FALSE	FALSE	FALSE	FALSE
chr1	2546878	2547179	PEX10|chr1:2478317-2478618:.	chr1:2478317-2478618	0.00472999364453308	chr1	2413796	2413797	PEX10	FALSE	0.9866736474694592	0.69	0.92	0.1	1	1	0.13	0.16	1	NA	WTC11	WTC11_DC_TAP_Seq	FALSE	WTC11_DC_TAP_Seq	chr1	2478317	2478618	chr1:2478317-2478618	enh	NA	NA	NA	134457.5	NA	NA	FALSE	FALSE	FALSE	FALSE
chr1	2546878	2547179	RER1|chr1:2478317-2478618:.	chr1:2478317-2478618	0.01897006082115671	chr1	2391775	2391776	RER1	FALSE	0.8979478067740144	0.49	0.88	0.07	0.97	1	0.15	0.21	1	NA	WTC11	WTC11_DC_TAP_Seq	FALSE	WTC11_DC_TAP_Seq	chr1	2478317	2478618	chr1:2478317-2478618	enh	NA	NA	NA	155254.5	NA	NA	FALSE	FALSE	FALSE	FALSE
