Gene_Id	Chr	Start	End	Length	Reads	tpm	ExonLength	ExonReads	ExonTPM	IntronLength	IntronReads	IntronTPM	UniqueLength	UniqueReads	UniqueTPM	UniqueExonLength	UniqueExonReads	UniqueExonTPM	UniqueIntronLength	UniqueIntronReads	UniqueIntronTPM
TARDBP	chr1	11012621	11030527	17907	3807	84.6615	5232	2557	121.397	12675	1289	109.112	13901	3234	121.399	4390	2173	151.177	9511	1099	140.501
CARNMT1	chr9	74980789	75028455	47667	4180	34.9208	5877	935	39.5184	41790	3264	83.8006	47667	4180	45.7592	5877	935	48.59	41790	3264	94.9697
AKIP1	chr11	8911116	8920078	8963	1235	54.8706	3534	600	42.1724	5429	708	139.921	8959	1235	71.9329	3530	600	51.912	5429	708	158.57
PLPPR3	chr19	810965	824243	13279	1323	39.6753	4539	1135	62.1125	8740	188	23.0789	11858	301	13.2457	3118	113	11.0686	8740	188	26.1549
GPR18	chr13	99254712	99262497	7786	923	47.2077	2663	488	45.519	5123	487	101.994	0	0	0	0	0	0	0	0	0
SNORA18	chr11	93733465	93733596	132	48	144.808	132	48	90.3256	0	0	0	0	0	0	0	0	0	0	0	0
PRPF40A	chr2	152651592	152718018	66427	13433	80.5294	10076	3841	94.6891	56351	9800	186.592	66055	13418	105.999	9704	3826	120.416	56351	9800	211.462
YIPF2	chr19	10922184	10928687	6504	931	57.0027	2416	779	80.0911	4088	153	40.1559	5610	227	21.1146	1522	75	15.0501	4088	153	45.508
MDM2	chr12	68808148	68850685	42538	4449	41.6496	12596	972	19.168	29942	3517	126.026	34044	3988	61.1272	4102	511	38.0467	29942	3517	142.823
ODF2L	chr1	86346823	86396341	49519	4929	39.6381	7735	959	30.7965	41784	4037	103.662	49463	4924	51.9467	7735	959	37.866	41728	4032	117.49
PMAIP1	chr18	59899995	59904304	4310	1076	99.4171	1899	749	97.9717	2411	328	145.964	4310	1076	130.273	1899	749	120.461	2411	328	165.418
HERC4	chr10	67921904	68075323	153420	12103	31.415	9186	1818	49.1599	144217	10419	77.5137	152466	12066	41.2962	9186	1818	60.4448	143280	10382	88.1054
TMEM167A	chr5	83052845	83077393	24549	4381	71.0666	4528	2063	113.171	20021	2335	125.133	24415	4375	93.5064	4528	2063	139.15	19887	2329	142.399
MRPS12	chr19	38930707	38933019	2313	795	136.873	1324	475	89.1147	989	322	349.324	2257	793	183.342	1268	473	113.929	989	322	395.883
BTAF1	chr10	91923769	92031436	107668	10388	38.4212	8965	2025	56.1072	98703	8517	92.5818	107668	10388	50.346	8965	2025	68.9868	98703	8517	104.921
SLC25A17	chr22	40769629	40819398	49770	3992	31.941	2454	333	33.7065	47316	3675	83.3333	49694	3992	41.9186	2454	333	41.4439	47240	3675	94.592
ESCO1	chr18	21529280	21600735	71456	6734	37.5284	4855	1987	101.661	66601	4763	76.7307	71456	6734	49.1761	4855	1987	124.997	66601	4763	86.9575
HNRNPUL1	chr19	41262518	41307786	45269	3471	30.5337	4914	1170	59.1418	40355	2326	61.8417	44602	3087	36.1162	4247	785	56.4519	40355	2326	70.0841
FEN1	chr11	61792910	61797237	4328	720	66.2478	2016	610	75.1593	2312	112	51.9756	4328	720	86.8091	2016	610	92.4125	2312	112	58.903
FEZF1	chr7	122300938	122311854	10917	3546	129.348	4470	715	39.7322	6447	2868	477.299	10917	3546	169.494	4470	715	48.8529	6447	2868	540.915
REPS1	chr6	138904014	138988260	84247	7155	33.8206	4158	319	19.0568	80089	6893	92.3431	84191	7155	44.347	4102	319	23.7512	80089	6893	104.651
ZNF532	chr18	58862599	58986479	123881	16002	51.4393	7503	1976	65.4178	116378	14125	130.223	123881	16002	67.4046	7503	1976	80.4347	116378	14125	147.579
MEF2A	chr15	99565416	99716487	151072	12294	32.4067	9065	1074	29.4293	142007	11327	85.5804	149381	12160	42.4774	7374	940	38.9328	142007	11327	96.9867
S100A6	chr1	153534598	153536048	1451	509	139.694	507	505	247.416	944	4	4.54629	1451	509	183.05	507	505	304.211	944	4	5.15223
SMAD4	chr18	51030212	51085041	54830	8075	58.6476	8772	1472	41.6824	46058	6678	155.564	54563	8028	76.7766	8505	1425	51.1719	46058	6678	176.298
SNORA16B	chr1	212352817	212352949	133	39	116.772	133	39	72.8378	0	0	0	0	0	0	0	0	0	0	0	0
NAMPT	chr7	106248297	106284982	36686	4249	46.1224	4360	472	26.8905	32326	3804	126.258	36686	4249	60.4375	4360	472	33.0634	32326	3804	143.086
EEF1D	chr8	143579693	143597674	17982	2407	53.3045	7071	1074	37.7283	10911	1336	131.374	17982	2407	69.8487	7071	1074	46.389	10911	1336	148.884
SUZ12	chr17	31937006	32001039	64034	10539	65.5412	4497	2723	150.407	59537	7911	142.565	64034	10539	85.8833	4497	2723	184.934	59537	7911	161.567
FAM122A	chr9	68780064	68785565	5502	424	30.6882	5502	424	19.1421	0	0	0	0	0	0	0	0	0	0	0	0
