elem_key,chr,start,end,n_pairs,n_sig,any_sig,any_sig_neg,any_sig_pos,sig_genes,all_genes,element_category,max_power15,min_sig_log2FC,min_dist_tss,min_sig_dist_tss,cell,set
chr11:67088869-67089368,chr11,67088869,67089368,22,1,True,True,False,FIBP,"AIP,BANF1,BRMS1,CCDC85B,CDK2AP2,CFL1,CORO1B,DRAP1,FAM89B,FIBP,MRPL11,POLD4,PPP1CA,RAB1B,RBM14,RNASEH2C,RPS6KB2,SCYL1,SF3B2,TMEM134,YIF1A,ZNRD2",H3K27ac,0.59,-0.130892115,267854,1200579.0,K562,pos_neg
chr16:1330474-1330973,chr16,1330474,1330973,27,2,True,True,False,"RPUSD1,UBE2I","ANTKMT,C16orf91,ECI1,GFER,HAGH,HAGHL,HBA2,HBQ1,JPT2,MEIOB,METRN,MRPL28,MRPS34,MSRB1,NDUFB10,NME3,NME4,NTHL1,NUBP2,RHOT2,RPUSD1,SLC9A3R2,STUB1,SYNGR3,TRAF7,TSR3,UBE2I",CTCF element,0.94,-0.125690973,21155,21843.0,K562,pos_neg
chr16:1828755-1829254,chr16,1828755,1829254,27,2,True,True,True,"C16orf91,GFER","ANTKMT,C16orf91,ECI1,GFER,HAGH,HAGHL,HBA2,HBQ1,JPT2,MEIOB,METRN,MRPL28,MRPS34,MSRB1,NDUFB10,NME3,NME4,NTHL1,NUBP2,RHOT2,RPUSD1,SLC9A3R2,STUB1,SYNGR3,TRAF7,TSR3,UBE2I",H3K27ac,0.94,-0.200638591,1847,155189.0,K562,pos_neg
chr16:2140522-2141021,chr16,2140522,2141021,27,1,True,True,False,ECI1,"ANTKMT,C16orf91,ECI1,GFER,HAGH,HAGHL,HBA2,HBQ1,JPT2,MEIOB,METRN,MRPL28,MRPS34,MSRB1,NDUFB10,NME3,NME4,NTHL1,NUBP2,RHOT2,RPUSD1,SLC9A3R2,STUB1,SYNGR3,TRAF7,TSR3,UBE2I",H3K27ac,0.85,-0.089653141,14927,111529.0,K562,pos_neg
chr16:88496084-88496583,chr16,88496084,88496583,10,1,True,True,False,TRAPPC2L,"ANKRD11,APRT,CDT1,CTU2,CYBA,MVD,PIEZO1,RNF166,TRAPPC2L,ZC3H18",H3K27ac,0.97,-0.100049949,74048,359887.0,K562,pos_neg
chr16:88685059-88685558,chr16,88685059,88685558,10,1,True,True,False,TRAPPC2L,"ANKRD11,APRT,CDT1,CTU2,CYBA,MVD,PIEZO1,RNF166,TRAPPC2L,ZC3H18",CTCF element,0.95,-0.05903218,21100,170912.0,K562,pos_neg
chr16:89369288-89369787,chr16,89369288,89369787,9,1,True,True,False,TRAPPC2L,"APRT,CDT1,CTU2,CYBA,MVD,PIEZO1,RNF166,TRAPPC2L,ZC3H18",H3K27ac,0.88,-0.069811271,513317,513317.0,K562,pos_neg
chr17:27336191-27336690,chr17,27336191,27336690,7,1,True,True,False,TMEM97,"IFT20,NUFIP2,POLDIP2,SDF2,TMEM97,TRAF4,WSB1",H3K27ac,0.9,-0.110533559,42364,982760.0,K562,pos_neg
chr17:27570114-27570613,chr17,27570114,27570613,7,1,True,True,False,TMEM97,"IFT20,NUFIP2,POLDIP2,SDF2,TMEM97,TRAF4,WSB1",High H3K27ac,0.84,-0.099576266,276287,748837.0,K562,pos_neg
chr19:38556711-38557710,chr19,38556711,38557710,16,1,True,True,False,EIF3K,"ACTN4,ECH1,EIF3K,MRPS12,PPP1R14A,PSMD8,RPS16,YIF1B",H3K27ac,0.92,-0.050218335,61622,62122.0,K562,pos_neg
chr19:38636860-38637359,chr19,38636860,38637359,8,1,True,True,False,EIF3K,"ACTN4,ECH1,EIF3K,MRPS12,PPP1R14A,PSMD8,RPS16,YIF1B",H3K27ac,0.93,-0.083831698,10540,18027.0,K562,pos_neg
chr19:38781032-38781531,chr19,38781032,38781531,8,1,True,True,False,EIF3K,"ACTN4,ECH1,EIF3K,MRPS12,PPP1R14A,PSMD8,RPS16,YIF1B",H3K27ac,0.85,-0.07369847,50560,162199.0,K562,pos_neg
chr19:9791458-9791957,chr19,9791458,9791957,11,1,True,True,False,UBL5,"DNM2,DNMT1,EIF3G,HNRNPM,ICAM3,ICAM4,MRPL4,PIN1,PPAN,RAB11B,UBL5",H3K27ac,0.94,-0.041005652,36185,36185.0,K562,pos_neg
chr1:234368637-234369136,chr1,234368637,234369136,4,1,True,True,False,COA6,"COA6,IRF2BP2,KCNK1,NTPCR",H3K27ac,0.88,-0.10067926,4570,4570.0,K562,pos_neg
chr3:49841072-49841571,chr3,49841072,49841571,14,1,True,True,False,IFRD2,"ARIH2,IFRD2,IMPDH2,IP6K2,KLHDC8B,NDUFAF3,PRKAR2A,QARS,RBM6,RHOA,SHISA5,TMA7,TUSC2,UQCRC1",CTCF element,0.98,-0.123004071,98686,451595.0,K562,pos_neg
chr6:119137438-119137937,chr6,119137438,119137937,4,1,True,True,False,MAN1A1,"ASF1A,GOPC,MAN1A1,NUS1",High H3K27ac,0.78,-0.290355849,212074,212074.0,K562,pos_neg
chr7:101138234-101138832,chr7,101138234,101138832,13,1,True,True,False,AP1S1,"AP1S1,CUX1,FIS1,GNB2,MOSPD3,POLR2J,POLR2J3,POP7,PRKRIP1,SRRT,TFR2,TRIP6,ZNHIT1",High H3K27ac,1.0,-0.081292345,15924,15924.0,K562,pos_neg
chr7:101192428-101192927,chr7,101192428,101192927,13,1,True,True,False,FIS1,"AP1S1,CUX1,FIS1,GNB2,MOSPD3,POLR2J,POLR2J3,POP7,PRKRIP1,SRRT,TFR2,TRIP6,ZNHIT1",CTCF element,0.97,-0.052240083,25488,59639.0,K562,pos_neg
chr11:65429979-65430478,chr11,65429979,65430478,18,1,True,False,True,CCDC85B,"BANF1,BRMS1,CCDC85B,CFL1,DRAP1,FAM89B,FIBP,MRPL11,POLD4,PPP1CA,RAB1B,RBM14,RNASEH2C,RPS6KB2,SCYL1,SF3B2,YIF1A,ZNRD2",High H3K27ac,0.98,0.159804628,94849,460445.0,K562,pos_pos
chr11:65501951-65502450,chr11,65501951,65502450,21,1,True,False,True,DRAP1,"AIP,BANF1,BRMS1,CCDC85B,CFL1,CORO1B,DRAP1,FAM89B,FIBP,MRPL11,POLD4,PPP1CA,RAB1B,RBM14,RNASEH2C,RPS6KB2,SCYL1,SF3B2,TMEM134,YIF1A,ZNRD2",High H3K27ac,0.84,0.105399207,22877,417074.0,K562,pos_pos
chr14:55438015-55438514,chr14,55438015,55438514,4,1,True,False,True,MAPK1IP1L,"CDKN3,CNIH1,KTN1,MAPK1IP1L",H3K27ac,0.59,0.249353299,120808,386617.0,K562,pos_pos
chr16:1828755-1829254,chr16,1828755,1829254,27,2,True,True,True,"C16orf91,GFER","ANTKMT,C16orf91,ECI1,GFER,HAGH,HAGHL,HBA2,HBQ1,JPT2,MEIOB,METRN,MRPL28,MRPS34,MSRB1,NDUFB10,NME3,NME4,NTHL1,NUBP2,RHOT2,RPUSD1,SLC9A3R2,STUB1,SYNGR3,TRAF7,TSR3,UBE2I",H3K27ac,0.94,-0.200638591,1847,155189.0,K562,pos_pos
chr16:1870655-1871154,chr16,1870655,1871154,26,1,True,False,True,HAGHL,"ANTKMT,C16orf91,ECI1,GFER,HAGH,HAGHL,HBA2,HBQ1,JPT2,METRN,MRPL28,MRPS34,MSRB1,NDUFB10,NME3,NME4,NTHL1,NUBP2,RHOT2,RPUSD1,SLC9A3R2,STUB1,SYNGR3,TRAF7,TSR3,UBE2I",H3K27ac,0.84,0.287516403,43747,1143969.0,K562,pos_pos
chr16:88773359-88774287,chr16,88773359,88774287,18,1,True,False,True,CTU2,"ANKRD11,APRT,CDT1,CTU2,CYBA,MVD,RNF166,TRAPPC2L,ZC3H18",High H3K27ac,0.93,0.373431254,29752,67554.0,K562,pos_pos
chr16:89489006-89489505,chr16,89489006,89489505,9,1,True,False,True,PIEZO1,"APRT,CDT1,CTU2,CYBA,MVD,PIEZO1,RNF166,TRAPPC2L,ZC3H18",High H3K27ac,0.91,0.13329436,633035,704035.0,K562,pos_pos
chr17:27354447-27354946,chr17,27354447,27354946,7,1,True,False,True,SDF2,"IFT20,NUFIP2,POLDIP2,SDF2,TMEM97,TRAF4,WSB1",High H3K27ac,0.87,0.130003261,60620,1307485.0,K562,pos_pos
chr17:41956416-41956915,chr17,41956416,41956915,4,1,True,False,True,VAT1,"BRCA1,RPL27,TMEM101,VAT1",H3K27ac,0.91,0.164763016,1041607,1068457.0,K562,pos_pos
chr17:46835806-46836305,chr17,46835806,46836305,8,1,True,False,True,HOXB9,"CALCOCO2,CBX1,EFTUD2,HOXB2,HOXB4,HOXB7,HOXB9,MRPL10",CTCF element,0.9,0.08079256,995486,1790299.0,K562,pos_pos
