intended_target_name_hg38	targeting_chr_hg38	targeting_start_hg38	targeting_end_hg38	intended_target_name_hg19	targeting_chr_hg19	targeting_start_hg19	targeting_end_hg19	element_gene_pair_identifier_hg38	element_gene_pair_identifier_hg19	gene_symbol	gene_id	cell_type	log_2_FC_effect_size	pct_change_effect_size	sceptre_p_value	sceptre_adj_p_value	significant	distance_to_gencode_gene_TSS	distance_to_abc_canonical_TSS	chrTSS_hg38	startTSS_hg38	endTSS_hg38	element_location	gencode_promoter_overlap	abc_tss_overlap	gencode_protein_coding_gene_body_overlap	DistalElement_Gene	DistalPromoter_Gene	selfPromoter	Positive_Control_DistalElement_Gene	Positive_Control_selfPromoter	Random_DistalElement_Gene	power_at_effect_size_2	power_at_effect_size_3	power_at_effect_size_5	power_at_effect_size_10	power_at_effect_size_15	power_at_effect_size_20	power_at_effect_size_25	power_at_effect_size_50	intended_positive_control_distal_element_target_gene	intended_positive_control_target_gene	design_file_target_name	design_file_type	guide_ids
chr1:2391524-2392024	chr1	2391524	2392024	chr1:2322963-2323463	chr1	2322963	2323463	PEX10|chr1:2391524-2392024	PEX10|chr1:2322963-2323463	PEX10	ENSG00000157911	WTC11	-0.006414739159563428	-0.443648794569073	0.892	0.9872960635130664	FALSE	22023	20797	chr1	2413796	2413797	promoter	RER1,MORN1	MORN1,RER1	MORN1,RER1	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	0.1	0.18	0.3	0.65	0.96	1	1	1	NA	RER1	RER1_TSS	tss_random	WTC11_Random_Screen_Crop_582,WTC11_Random_Screen_Crop_583,WTC11_Random_Screen_Crop_584,WTC11_Random_Screen_Crop_585,WTC11_Random_Screen_Crop_586,WTC11_Random_Screen_Crop_587,WTC11_Random_Screen_Crop_588,WTC11_Random_Screen_Crop_589,WTC11_Random_Screen_Crop_590,WTC11_Random_Screen_Crop_591,WTC11_Random_Screen_Crop_592,WTC11_Random_Screen_Crop_593,WTC11_Random_Screen_Crop_594,WTC11_Random_Screen_Crop_595,WTC11_Random_Screen_Crop_596
chr1:2391524-2392024	chr1	2391524	2392024	chr1:2322963-2323463	chr1	2322963	2323463	RER1|chr1:2391524-2392024	RER1|chr1:2322963-2323463	RER1	ENSG00000157916	WTC11	-0.16986200034567486	-11.107229334576664	1.0676354649066452e-5	5.198989293552804e-4	TRUE	1	0	chr1	2391775	2391776	promoter	RER1,MORN1	MORN1,RER1	MORN1,RER1	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	0.08	0.1	0.19	0.56	0.92	0.98	1	1	NA	RER1	RER1_TSS	tss_random	WTC11_Random_Screen_Crop_582,WTC11_Random_Screen_Crop_583,WTC11_Random_Screen_Crop_584,WTC11_Random_Screen_Crop_585,WTC11_Random_Screen_Crop_586,WTC11_Random_Screen_Crop_587,WTC11_Random_Screen_Crop_588,WTC11_Random_Screen_Crop_589,WTC11_Random_Screen_Crop_590,WTC11_Random_Screen_Crop_591,WTC11_Random_Screen_Crop_592,WTC11_Random_Screen_Crop_593,WTC11_Random_Screen_Crop_594,WTC11_Random_Screen_Crop_595,WTC11_Random_Screen_Crop_596
chr1:2412321-2412821	chr1	2412321	2412821	chr1:2343760-2344260	chr1	2343760	2344260	PEX10|chr1:2412321-2412821	PEX10|chr1:2343760-2344260	PEX10	ENSG00000157911	WTC11	-0.4663198355934508	-27.61913950006405	7.793413038483241e-27	7.216041875350536e-25	TRUE	1226	0	chr1	2413796	2413797	promoter	PEX10	PEX10	PEX10	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	0.05	0.16	0.14	0.56	0.91	0.99	1	1	NA	PEX10	PEX10_TSS	tss_random	WTC11_Random_Screen_Crop_597,WTC11_Random_Screen_Crop_598,WTC11_Random_Screen_Crop_599,WTC11_Random_Screen_Crop_600,WTC11_Random_Screen_Crop_601,WTC11_Random_Screen_Crop_602,WTC11_Random_Screen_Crop_603,WTC11_Random_Screen_Crop_604,WTC11_Random_Screen_Crop_605,WTC11_Random_Screen_Crop_606,WTC11_Random_Screen_Crop_607,WTC11_Random_Screen_Crop_608,WTC11_Random_Screen_Crop_609,WTC11_Random_Screen_Crop_610,WTC11_Random_Screen_Crop_611
chr1:2412321-2412821	chr1	2412321	2412821	chr1:2343760-2344260	chr1	2343760	2344260	RER1|chr1:2412321-2412821	RER1|chr1:2343760-2344260	RER1	ENSG00000157916	WTC11	-0.025918918453223878	-1.7805205520506129	0.576	0.9231165285226718	FALSE	20796	20797	chr1	2391775	2391776	promoter	PEX10	PEX10	PEX10	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	0.05	0.09	0.18	0.44	0.88	0.97	1	1	NA	PEX10	PEX10_TSS	tss_random	WTC11_Random_Screen_Crop_597,WTC11_Random_Screen_Crop_598,WTC11_Random_Screen_Crop_599,WTC11_Random_Screen_Crop_600,WTC11_Random_Screen_Crop_601,WTC11_Random_Screen_Crop_602,WTC11_Random_Screen_Crop_603,WTC11_Random_Screen_Crop_604,WTC11_Random_Screen_Crop_605,WTC11_Random_Screen_Crop_606,WTC11_Random_Screen_Crop_607,WTC11_Random_Screen_Crop_608,WTC11_Random_Screen_Crop_609,WTC11_Random_Screen_Crop_610,WTC11_Random_Screen_Crop_611
chr1:2413758-2414059	chr1	2413758	2414059	chr1:2345197-2345498	chr1	2345197	2345498	PEX10|chr1:2413758-2414059	PEX10|chr1:2345197-2345498	PEX10	ENSG00000157911	WTC11	-0.03647421454839541	-2.496508559312082	0.296	0.8149586776859504	FALSE	111	1337.5	chr1	2413796	2413797	promoter	PEX10	NA	PEX10	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	0.1	0.07	0.17	0.54	0.96	0.99	1	1	NA	NA	chr1:2345197-2345498	enh	WTC11_Random_Screen_Crop_612,WTC11_Random_Screen_Crop_613,WTC11_Random_Screen_Crop_614,WTC11_Random_Screen_Crop_615,WTC11_Random_Screen_Crop_616,WTC11_Random_Screen_Crop_617,WTC11_Random_Screen_Crop_618,WTC11_Random_Screen_Crop_619,WTC11_Random_Screen_Crop_620,WTC11_Random_Screen_Crop_621,WTC11_Random_Screen_Crop_622,WTC11_Random_Screen_Crop_623,WTC11_Random_Screen_Crop_624,WTC11_Random_Screen_Crop_625,WTC11_Random_Screen_Crop_626
chr1:2413758-2414059	chr1	2413758	2414059	chr1:2345197-2345498	chr1	2345197	2345498	RER1|chr1:2413758-2414059	RER1|chr1:2345197-2345498	RER1	ENSG00000157916	WTC11	-0.07911604259544754	-5.336251423109639	0.08	0.5679481641468683	FALSE	22133	22134.5	chr1	2391775	2391776	promoter	PEX10	NA	PEX10	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	0.08	0.05	0.15	0.51	0.88	0.96	1	1	NA	NA	chr1:2345197-2345498	enh	WTC11_Random_Screen_Crop_612,WTC11_Random_Screen_Crop_613,WTC11_Random_Screen_Crop_614,WTC11_Random_Screen_Crop_615,WTC11_Random_Screen_Crop_616,WTC11_Random_Screen_Crop_617,WTC11_Random_Screen_Crop_618,WTC11_Random_Screen_Crop_619,WTC11_Random_Screen_Crop_620,WTC11_Random_Screen_Crop_621,WTC11_Random_Screen_Crop_622,WTC11_Random_Screen_Crop_623,WTC11_Random_Screen_Crop_624,WTC11_Random_Screen_Crop_625,WTC11_Random_Screen_Crop_626
chr1:2546024-2546325	chr1	2546024	2546325	chr1:2477463-2477764	chr1	2477463	2477764	PEX10|chr1:2546024-2546325	PEX10|chr1:2477463-2477764	PEX10	ENSG00000157911	WTC11	0.0225205353094035	1.573251875642634	0.612	0.9341276990944972	FALSE	132377	133603.5	chr1	2413796	2413797	distal	NA	NA	NA	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.05	0.08	0.1	0.51	0.85	1	1	1	NA	NA	chr1:2477463-2477764	enh	WTC11_Random_Screen_Crop_627,WTC11_Random_Screen_Crop_628,WTC11_Random_Screen_Crop_629,WTC11_Random_Screen_Crop_630,WTC11_Random_Screen_Crop_631,WTC11_Random_Screen_Crop_632,WTC11_Random_Screen_Crop_633,WTC11_Random_Screen_Crop_634,WTC11_Random_Screen_Crop_635,WTC11_Random_Screen_Crop_636,WTC11_Random_Screen_Crop_637,WTC11_Random_Screen_Crop_638,WTC11_Random_Screen_Crop_639,WTC11_Random_Screen_Crop_640,WTC11_Random_Screen_Crop_641
chr1:2546024-2546325	chr1	2546024	2546325	chr1:2477463-2477764	chr1	2477463	2477764	RER1|chr1:2546024-2546325	RER1|chr1:2477463-2477764	RER1	ENSG00000157916	WTC11	-0.024411919171931758	-1.677869600374049	0.564	0.9175293244246472	FALSE	154399	154400.5	chr1	2391775	2391776	distal	NA	NA	NA	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.04	0.04	0.07	0.46	0.8	0.97	1	1	NA	NA	chr1:2477463-2477764	enh	WTC11_Random_Screen_Crop_627,WTC11_Random_Screen_Crop_628,WTC11_Random_Screen_Crop_629,WTC11_Random_Screen_Crop_630,WTC11_Random_Screen_Crop_631,WTC11_Random_Screen_Crop_632,WTC11_Random_Screen_Crop_633,WTC11_Random_Screen_Crop_634,WTC11_Random_Screen_Crop_635,WTC11_Random_Screen_Crop_636,WTC11_Random_Screen_Crop_637,WTC11_Random_Screen_Crop_638,WTC11_Random_Screen_Crop_639,WTC11_Random_Screen_Crop_640,WTC11_Random_Screen_Crop_641
chr1:2546878-2547179	chr1	2546878	2547179	chr1:2478317-2478618	chr1	2478317	2478618	PEX10|chr1:2546878-2547179	PEX10|chr1:2478317-2478618	PEX10	ENSG00000157911	WTC11	0.0068078504922742915	0.472999364453308	0.86	0.9866736474694592	FALSE	133231	134457.5	chr1	2413796	2413797	distal	NA	NA	NA	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.1	0.13	0.16	0.69	0.92	1	1	1	NA	NA	chr1:2478317-2478618	enh	WTC11_Random_Screen_Crop_642,WTC11_Random_Screen_Crop_643,WTC11_Random_Screen_Crop_644,WTC11_Random_Screen_Crop_645,WTC11_Random_Screen_Crop_646,WTC11_Random_Screen_Crop_647,WTC11_Random_Screen_Crop_648,WTC11_Random_Screen_Crop_649,WTC11_Random_Screen_Crop_650,WTC11_Random_Screen_Crop_651,WTC11_Random_Screen_Crop_652,WTC11_Random_Screen_Crop_653,WTC11_Random_Screen_Crop_654,WTC11_Random_Screen_Crop_655,WTC11_Random_Screen_Crop_656
chr1:2546878-2547179	chr1	2546878	2547179	chr1:2478317-2478618	chr1	2478317	2478618	RER1|chr1:2546878-2547179	RER1|chr1:2478317-2478618	RER1	ENSG00000157916	WTC11	0.02711166314319198	1.897006082115671	0.484	0.8979478067740144	FALSE	155253	155254.5	chr1	2391775	2391776	distal	NA	NA	NA	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.07	0.15	0.21	0.49	0.88	0.97	1	1	NA	NA	chr1:2478317-2478618	enh	WTC11_Random_Screen_Crop_642,WTC11_Random_Screen_Crop_643,WTC11_Random_Screen_Crop_644,WTC11_Random_Screen_Crop_645,WTC11_Random_Screen_Crop_646,WTC11_Random_Screen_Crop_647,WTC11_Random_Screen_Crop_648,WTC11_Random_Screen_Crop_649,WTC11_Random_Screen_Crop_650,WTC11_Random_Screen_Crop_651,WTC11_Random_Screen_Crop_652,WTC11_Random_Screen_Crop_653,WTC11_Random_Screen_Crop_654,WTC11_Random_Screen_Crop_655,WTC11_Random_Screen_Crop_656
