gene	Chr	Start	End	Length	Reads	tpm	type	use
RPL10A	chr6	35468400	35470780	2381	8067	1349.21	locus_gene	no
SOX2	chr3	181711924	181714435	2512	5784	916.927	control	yes
FAU	chr11	65120629	65122133	1505	3341	884.028	locus_gene	no
RNASEK	chr17	7012416	7014532	2117	3669	690.165	locus_gene	no
RPL8	chr8	144789768	144792389	2622	3769	572.426	locus_gene	yes
RPL37A	chr2	216498843	216504085	5243	6832	518.912	locus_gene	yes
FUS	chr16	31180109	31194870	14762	16935	456.842	locus_gene	yes
HMGN2	chr1	26472439	26476641	4203	3663	347.059	locus_gene	yes
FOXH1	chr8	144473411	144475848	2438	1875	306.262	locus_gene	yes
EIF4A1	chr17	7572824	7579005	6182	4721	304.11	locus_gene	yes
RNASEK-C17orf49	chr17	7012416	7017523	5108	3847	299.914	locus_gene	yes
SELENOH	chr11	57741249	57743553	2305	1678	289.899	central_gene	yes
SF1	chr11	64764603	64778843	14241	10120	282.987	locus_gene	yes
SAT2	chr17	7626233	7627877	1645	1023	247.648	locus_gene	yes
AUP1	chr2	74526651	74529705	3055	1845	240.498	locus_gene	yes
RPS10	chr6	34417453	34426068	8616	5080	234.792	locus_gene	yes
CLDN7	chr17	7259902	7263192	3291	1795	217.201	locus_gene	yes
CCDC85B	chr11	65890672	65891634	963	512	211.724	locus_gene	yes
CFL1	chr11	65854672	65858179	3508	1846	209.555	locus_gene	yes
UBC	chr12	124911645	124914649	3005	1445	191.491	locus_gene	yes
UBL5	chr19	9827917	9830114	2198	976	176.827	locus_gene	yes
TPI1	chr12	6866833	6870947	4115	1814	175.547	central_gene	yes
ZNF281	chr1	200404950	200410035	5086	2078	162.703	central_gene	yes
PCBP1	chr2	70087476	70089202	1727	681	157.029	locus_gene	yes
ZNF121	chr19	9560336	9584543	24208	9431	155.14	locus_gene	yes
IER2	chr19	13150410	13154910	4501	1737	153.68	central_gene	yes
GPS2	chr17	7312660	7315359	2700	1039	153.242	locus_gene	yes
VKORC1	chr16	31090841	31094998	4158	1572	150.555	locus_gene	yes
WDR54	chr2	74421720	74426258	4539	1585	139.058	central_gene	yes
TMEM256	chr17	7402974	7404096	1123	385	136.523	locus_gene	yes
TIA1	chr2	70209443	70248792	39350	13218	133.766	locus_gene	yes
SENP3-EIF4A1	chr17	7561991	7579005	17015	5634	131.859	locus_gene	yes
MPDU1	chr17	7583646	7588211	4566	1505	131.258	locus_gene	yes
ADNP	chr20	50888917	50931436	42520	13065	122.361	locus_gene	yes
TM7SF2	chr11	65111853	65116407	4555	1398	122.221	locus_gene	yes
BANF1	chr11	66002078	66004148	2071	621	119.409	locus_gene	yes
MRPL53	chr2	74471981	74472679	699	209	119.068	locus_gene	yes
C12orf57	chr12	6943437	6946002	2566	753	116.86	locus_gene	yes
SALL4	chr20	51782330	51802520	20191	5885	116.069	central_gene	yes
YIF1A	chr11	66284579	66289142	4564	1282	111.858	locus_gene	yes
VAMP2	chr17	8159146	8162947	3802	1047	109.663	locus_gene	yes
PHB2	chr12	6965326	6970752	5427	1470	107.866	locus_gene	yes
HMGA1	chr6	34236872	34246230	9359	2532	107.736	locus_gene	yes
MFSD3	chr8	144508080	144511227	3148	850	107.525	locus_gene	yes
SH3BGRL3	chr1	26280085	26281521	1437	381	105.583	locus_gene	yes
MOGS	chr2	74461056	74465381	4326	1143	105.217	locus_gene	yes
