grna_target	grna_id	gRNA_type	old_name
chr20:49547777	WTC11_Random_Screen_Crop_12195	TSS	ADNP_TSS_1
chr20:49547777	WTC11_Random_Screen_Crop_12193	TSS	ADNP_TSS_1
chr20:49547777	WTC11_Random_Screen_Crop_12188	TSS	ADNP_TSS_1
chr20:49547777	WTC11_Random_Screen_Crop_12194	TSS	ADNP_TSS_1
chr20:49547777	WTC11_Random_Screen_Crop_12185	TSS	ADNP_TSS_1
chr20:49547777	WTC11_Random_Screen_Crop_12196	TSS	ADNP_TSS_1
chr20:49547777	WTC11_Random_Screen_Crop_12183	TSS	ADNP_TSS_1
chr20:49547777	WTC11_Random_Screen_Crop_12186	TSS	ADNP_TSS_1
chr20:49547777	WTC11_Random_Screen_Crop_12192	TSS	ADNP_TSS_1
chr20:49547777	WTC11_Random_Screen_Crop_12184	TSS	ADNP_TSS_1
chr20:49547777	WTC11_Random_Screen_Crop_12187	TSS	ADNP_TSS_1
chr20:49547777	WTC11_Random_Screen_Crop_12182	TSS	ADNP_TSS_1
chr20:49547777	WTC11_Random_Screen_Crop_12191	TSS	ADNP_TSS_1
chr20:49547777	WTC11_Random_Screen_Crop_12189	TSS	ADNP_TSS_1
chr20:49547777	WTC11_Random_Screen_Crop_12190	TSS	ADNP_TSS_1
chr20:49547777	WTC11_Random_Screen_Crop_12219	TSS	ADNP_TSS_2
chr20:49547777	WTC11_Random_Screen_Crop_12218	TSS	ADNP_TSS_2
chr20:49547777	WTC11_Random_Screen_Crop_12220	TSS	ADNP_TSS_2
chr20:49547777	WTC11_Random_Screen_Crop_12214	TSS	ADNP_TSS_2
chr20:49547777	WTC11_Random_Screen_Crop_12223	TSS	ADNP_TSS_2
chr20:49547777	WTC11_Random_Screen_Crop_12216	TSS	ADNP_TSS_2
chr20:49547777	WTC11_Random_Screen_Crop_12213	TSS	ADNP_TSS_2
chr20:49547777	WTC11_Random_Screen_Crop_12221	TSS	ADNP_TSS_2
chr20:49547777	WTC11_Random_Screen_Crop_12225	TSS	ADNP_TSS_2
chr20:49547777	WTC11_Random_Screen_Crop_12215	TSS	ADNP_TSS_2
chr20:49547777	WTC11_Random_Screen_Crop_12212	TSS	ADNP_TSS_2
chr20:49547777	WTC11_Random_Screen_Crop_12224	TSS	ADNP_TSS_2
chr20:49547777	WTC11_Random_Screen_Crop_12217	TSS	ADNP_TSS_2
chr20:49547777	WTC11_Random_Screen_Crop_12222	TSS	ADNP_TSS_2
chr20:49547777	WTC11_Random_Screen_Crop_12226	TSS	ADNP_TSS_2
chr2:74757066	WTC11_Random_Screen_Crop_10187	TSS	AUP1_TSS
chr2:74757066	WTC11_Random_Screen_Crop_10179	TSS	AUP1_TSS
chr2:74757066	WTC11_Random_Screen_Crop_10185	TSS	AUP1_TSS
chr2:74757066	WTC11_Random_Screen_Crop_10180	TSS	AUP1_TSS
chr2:74757066	WTC11_Random_Screen_Crop_10186	TSS	AUP1_TSS
chr2:74757066	WTC11_Random_Screen_Crop_10184	TSS	AUP1_TSS
chr2:74757066	WTC11_Random_Screen_Crop_10188	TSS	AUP1_TSS
chr2:74757066	WTC11_Random_Screen_Crop_10177	TSS	AUP1_TSS
chr2:74757066	WTC11_Random_Screen_Crop_10178	TSS	AUP1_TSS
chr2:74757066	WTC11_Random_Screen_Crop_10189	TSS	AUP1_TSS
chr2:74757066	WTC11_Random_Screen_Crop_10183	TSS	AUP1_TSS
chr2:74757066	WTC11_Random_Screen_Crop_10182	TSS	AUP1_TSS
chr2:74757066	WTC11_Random_Screen_Crop_10181	TSS	AUP1_TSS
chr2:74757066	WTC11_Random_Screen_Crop_10176	TSS	AUP1_TSS
chr2:74757066	WTC11_Random_Screen_Crop_10190	TSS	AUP1_TSS
chr10:121448163-121448182	WTC11_Random_Screen_Crop_2425	DE	BAG3_DE
chr10:121448163-121448182	WTC11_Random_Screen_Crop_2426	DE	BAG3_DE
chr10:121448163-121448182	WTC11_Random_Screen_Crop_2431	DE	BAG3_DE
chr10:121448163-121448182	WTC11_Random_Screen_Crop_2433	DE	BAG3_DE
chr10:121448163-121448182	WTC11_Random_Screen_Crop_2439	DE	BAG3_DE
chr10:121448163-121448182	WTC11_Random_Screen_Crop_2427	DE	BAG3_DE
chr10:121448163-121448182	WTC11_Random_Screen_Crop_2430	DE	BAG3_DE
chr10:121448163-121448182	WTC11_Random_Screen_Crop_2438	DE	BAG3_DE
chr10:121448163-121448182	WTC11_Random_Screen_Crop_2436	DE	BAG3_DE
chr10:121448163-121448182	WTC11_Random_Screen_Crop_2429	DE	BAG3_DE
chr10:121448163-121448182	WTC11_Random_Screen_Crop_2432	DE	BAG3_DE
chr10:121448163-121448182	WTC11_Random_Screen_Crop_2437	DE	BAG3_DE
chr10:121448163-121448182	WTC11_Random_Screen_Crop_2435	DE	BAG3_DE
chr10:121448163-121448182	WTC11_Random_Screen_Crop_2428	DE	BAG3_DE
chr10:121448163-121448182	WTC11_Random_Screen_Crop_2434	DE	BAG3_DE
chr10:121410882	WTC11_Random_Screen_Crop_2414	TSS	BAG3_TSS
chr10:121410882	WTC11_Random_Screen_Crop_2424	TSS	BAG3_TSS
chr10:121410882	WTC11_Random_Screen_Crop_2421	TSS	BAG3_TSS
chr10:121410882	WTC11_Random_Screen_Crop_2419	TSS	BAG3_TSS
chr10:121410882	WTC11_Random_Screen_Crop_2422	TSS	BAG3_TSS
chr10:121410882	WTC11_Random_Screen_Crop_BAG3	TSS	BAG3_TSS
chr10:121410882	WTC11_Random_Screen_Crop_2413	TSS	BAG3_TSS
chr10:121410882	WTC11_Random_Screen_Crop_2418	TSS	BAG3_TSS
chr10:121410882	WTC11_Random_Screen_Crop_2417	TSS	BAG3_TSS
chr10:121410882	WTC11_Random_Screen_Crop_2423	TSS	BAG3_TSS
chr10:121410882	WTC11_Random_Screen_Crop_2420	TSS	BAG3_TSS
chr10:121410882	WTC11_Random_Screen_Crop_2415	TSS	BAG3_TSS
chr10:121410882	WTC11_Random_Screen_Crop_2416	TSS	BAG3_TSS
chr11:65769550	WTC11_Random_Screen_Crop_4545	TSS	BANF1_TSS
chr11:65769550	WTC11_Random_Screen_Crop_4536	TSS	BANF1_TSS
chr11:65769550	WTC11_Random_Screen_Crop_4546	TSS	BANF1_TSS
chr11:65769550	WTC11_Random_Screen_Crop_4542	TSS	BANF1_TSS
chr11:65769550	WTC11_Random_Screen_Crop_4532	TSS	BANF1_TSS
chr11:65769550	WTC11_Random_Screen_Crop_4537	TSS	BANF1_TSS
chr11:65769550	WTC11_Random_Screen_Crop_4533	TSS	BANF1_TSS
chr11:65769550	WTC11_Random_Screen_Crop_4534	TSS	BANF1_TSS
chr11:65769550	WTC11_Random_Screen_Crop_4541	TSS	BANF1_TSS
chr11:65769550	WTC11_Random_Screen_Crop_4540	TSS	BANF1_TSS
chr11:65769550	WTC11_Random_Screen_Crop_4539	TSS	BANF1_TSS
chr11:65769550	WTC11_Random_Screen_Crop_4538	TSS	BANF1_TSS
chr11:65769550	WTC11_Random_Screen_Crop_4543	TSS	BANF1_TSS
chr11:65769550	WTC11_Random_Screen_Crop_4535	TSS	BANF1_TSS
chr11:65769550	WTC11_Random_Screen_Crop_4544	TSS	BANF1_TSS
chr20:11871371	WTC11_Random_Screen_Crop_10625	TSS	BTBD3_TSS_1
chr20:11871371	WTC11_Random_Screen_Crop_10635	TSS	BTBD3_TSS_1
chr20:11871371	WTC11_Random_Screen_Crop_10637	TSS	BTBD3_TSS_1
chr20:11871371	WTC11_Random_Screen_Crop_10631	TSS	BTBD3_TSS_1
chr20:11871371	WTC11_Random_Screen_Crop_10624	TSS	BTBD3_TSS_1
chr20:11871371	WTC11_Random_Screen_Crop_10630	TSS	BTBD3_TSS_1
chr20:11871371	WTC11_Random_Screen_Crop_10633	TSS	BTBD3_TSS_1
chr20:11871371	WTC11_Random_Screen_Crop_10628	TSS	BTBD3_TSS_1
chr20:11871371	WTC11_Random_Screen_Crop_10629	TSS	BTBD3_TSS_1
chr20:11871371	WTC11_Random_Screen_Crop_10632	TSS	BTBD3_TSS_1
chr20:11871371	WTC11_Random_Screen_Crop_10636	TSS	BTBD3_TSS_1
chr20:11871371	WTC11_Random_Screen_Crop_10623	TSS	BTBD3_TSS_1
chr20:11871371	WTC11_Random_Screen_Crop_10627	TSS	BTBD3_TSS_1
chr20:11871371	WTC11_Random_Screen_Crop_10626	TSS	BTBD3_TSS_1
chr20:11871371	WTC11_Random_Screen_Crop_10634	TSS	BTBD3_TSS_1
chr20:11871371	WTC11_Random_Screen_Crop_10647	TSS	BTBD3_TSS_2
chr20:11871371	WTC11_Random_Screen_Crop_10641	TSS	BTBD3_TSS_2
chr20:11871371	WTC11_Random_Screen_Crop_10639	TSS	BTBD3_TSS_2
