grna_target	grna_id	gRNA_type	old_name
chr18:12377025-12377525	K562_Random_Screen_Crop_11280	tss_random	AFG3L2_TSS
chr18:12377025-12377525	K562_Random_Screen_Crop_11283	tss_random	AFG3L2_TSS
chr18:12377025-12377525	K562_Random_Screen_Crop_11278	tss_random	AFG3L2_TSS
chr18:12377025-12377525	K562_Random_Screen_Crop_11279	tss_random	AFG3L2_TSS
chr18:12377025-12377525	K562_Random_Screen_Crop_11282	tss_random	AFG3L2_TSS
chr18:12377025-12377525	K562_Random_Screen_Crop_11286	tss_random	AFG3L2_TSS
chr18:12377025-12377525	K562_Random_Screen_Crop_11276	tss_random	AFG3L2_TSS
chr18:12377025-12377525	K562_Random_Screen_Crop_11281	tss_random	AFG3L2_TSS
chr18:12377025-12377525	K562_Random_Screen_Crop_11277	tss_random	AFG3L2_TSS
chr18:12377025-12377525	K562_Random_Screen_Crop_11289	tss_random	AFG3L2_TSS
chr18:12377025-12377525	K562_Random_Screen_Crop_11275	tss_random	AFG3L2_TSS
chr18:12377025-12377525	K562_Random_Screen_Crop_11284	tss_random	AFG3L2_TSS
chr18:12377025-12377525	K562_Random_Screen_Crop_11285	tss_random	AFG3L2_TSS
chr18:12377025-12377525	K562_Random_Screen_Crop_11288	tss_random	AFG3L2_TSS
chr18:12377025-12377525	K562_Random_Screen_Crop_11287	tss_random	AFG3L2_TSS
chrX:55057247-55057747	K562_Random_Screen_Crop_14155	tss_pos	ALAS2_TSS
chrX:55057247-55057747	K562_Random_Screen_Crop_14157	tss_pos	ALAS2_TSS
chrX:55057247-55057747	K562_Random_Screen_Crop_14158	tss_pos	ALAS2_TSS
chrX:55057247-55057747	K562_Random_Screen_Crop_14156	tss_pos	ALAS2_TSS
chrX:55057247-55057747	K562_Random_Screen_Crop_14154	tss_pos	ALAS2_TSS
chrX:55057247-55057747	K562_Random_Screen_Crop_14160	tss_pos	ALAS2_TSS
chrX:55057247-55057747	K562_Random_Screen_Crop_14161	tss_pos	ALAS2_TSS
chrX:55057247-55057747	K562_Random_Screen_Crop_14159	tss_pos	ALAS2_TSS
chrX:55057247-55057747	K562_Random_Screen_Crop_14166	tss_pos	ALAS2_TSS
chrX:55057247-55057747	K562_Random_Screen_Crop_14168	tss_pos	ALAS2_TSS
chrX:55057247-55057747	K562_Random_Screen_Crop_14164	tss_pos	ALAS2_TSS
chrX:55057247-55057747	K562_Random_Screen_Crop_14162	tss_pos	ALAS2_TSS
chrX:55057247-55057747	K562_Random_Screen_Crop_14165	tss_pos	ALAS2_TSS
chrX:55057247-55057747	K562_Random_Screen_Crop_14163	tss_pos	ALAS2_TSS
chrX:55057247-55057747	K562_Random_Screen_Crop_14167	tss_pos	ALAS2_TSS
chr16:89556719-89557219	K562_Random_Screen_Crop_8396	tss_random	ANKRD11_TSS
chr16:89556719-89557219	K562_Random_Screen_Crop_8398	tss_random	ANKRD11_TSS
chr16:89556719-89557219	K562_Random_Screen_Crop_8397	tss_random	ANKRD11_TSS
chr16:89556719-89557219	K562_Random_Screen_Crop_8394	tss_random	ANKRD11_TSS
chr16:89556719-89557219	K562_Random_Screen_Crop_8400	tss_random	ANKRD11_TSS
chr16:89556719-89557219	K562_Random_Screen_Crop_8399	tss_random	ANKRD11_TSS
chr16:89556719-89557219	K562_Random_Screen_Crop_8395	tss_random	ANKRD11_TSS
chr16:89556719-89557219	K562_Random_Screen_Crop_8407	tss_random	ANKRD11_TSS
chr16:89556719-89557219	K562_Random_Screen_Crop_8408	tss_random	ANKRD11_TSS
chr16:89556719-89557219	K562_Random_Screen_Crop_8401	tss_random	ANKRD11_TSS
chr16:89556719-89557219	K562_Random_Screen_Crop_8404	tss_random	ANKRD11_TSS
chr16:89556719-89557219	K562_Random_Screen_Crop_8405	tss_random	ANKRD11_TSS
chr16:89556719-89557219	K562_Random_Screen_Crop_8402	tss_random	ANKRD11_TSS
