seqnames	chr	start	end	genes_above_tpms	additional_3genes	locus_gene_name	genes_above_tpms_list_good	n_genes_g_40tpm	n_genes_g_30tpm	genes_g_40tpm	genes_g_30tpm
ENSG00000179431	chr11	35618419	37618418	1	x	FJX1	FJX1	1	1	FJX1	FJX1
ENSG00000173914	chr11	64677922	66677921	15	CCDC85B;MRPL11;BANF1	RBM4B	SF1, TM7SF2, FAU, RNASEH2C, CFL1, CCDC85B, DRAP1, BANF1, YIF1A, SLC29A2, MRPL11, RBM14-RBM4, RBM14, RBM4, RBM4B	20	23	SF1;SAC3D1;TM7SF2;ZNHIT2;FAU;KAT5;RNASEH2C;CFL1;CCDC85B;DRAP1;BANF1;SF3B2;YIF1A;B4GAT1;SLC29A2;MRPL11;RBM14-RBM4;RBM14;RBM4;RBM4B	SF1;SAC3D1;VPS51;TM7SF2;ZNHIT2;FAU;KAT5;RNASEH2C;SNX32;CFL1;FIBP;CCDC85B;DRAP1;BANF1;SF3B2;YIF1A;B4GAT1;SLC29A2;MRPL11;RBM14-RBM4;RBM14;RBM4;RBM4B
ENSG00000172058	chr5	70900665	72900664	2	TNPO1	SERF1A	SERF1A, TNPO1	2	6	SERF1A;TNPO1	SERF1A;SMN1;BDP1;MAP1B;MRPS27;TNPO1
ENSG00000096063	chr6	33921343	35921342	5	RPS10;HMGA1;RPL10A	SRPK1	HMGA1, RPS10, TAF11, RPL10A, SRPK1	5	7	HMGA1;RPS10;TAF11;RPL10A;SRPK1	HMGA1;RPS10-NUDT3;RPS10;SNRPC;TAF11;RPL10A;SRPK1
ENSG00000079246	chr2	216107464	218107463	3	RPL37A;IGFBP2	XRCC5	XRCC5, RPL37A, IGFBP2	3	3	XRCC5;RPL37A;IGFBP2	XRCC5;RPL37A;IGFBP2
ENSG00000112308	chr6	22720837	24720836	1	x	C6orf62	C6orf62	2	3	TDP2;C6orf62	MRS2;TDP2;C6orf62
ENSG00000142684	chr1	26169871	28169870	5	SH3BGRL3;LIN28A;HMGN2	ZNF593	ZNF593, SH3BGRL3, LIN28A, HMGN2, TRNP1	6	10	ZNF593;SH3BGRL3;LIN28A;HMGN2;TRNP1;TENT5B	ZNF593;CEP85;SH3BGRL3;LIN28A;HMGN2;ARID1A;TRNP1;TENT5B;RPA2;SMPDL3B
ENSG00000167702	chr8	144466043	146466042	6	RPL8;LRRC24;ZNF251	KIFC2	KIFC2, FOXH1, MFSD3, LRRC24, ZNF251, RPL8	7	7	KIFC2;FOXH1;MFSD3;LRRC14;LRRC24;ZNF251;RPL8	KIFC2;FOXH1;MFSD3;LRRC14;LRRC24;ZNF251;RPL8
ENSG00000111364	chr12	123602077	125602076	2	UBC	DDX55	DDX55, UBC	2	3	DDX55;UBC	DDX55;ATP6V0A2;UBC
ENSG00000065243	chr1	88684222	90684221	3	RBMXL1;ZNF326	PKN2	PKN2, RBMXL1, ZNF326	3	6	PKN2;RBMXL1;ZNF326	PKN2;KYAT3;RBMXL1;LRRC8B;LRRC8D;ZNF326
