intended_target_name_hg38	targeting_chr_hg38	targeting_start_hg38	targeting_end_hg38	intended_target_name_hg19	targeting_chr_hg19	targeting_start_hg19	targeting_end_hg19	element_gene_pair_identifier_hg38	element_gene_pair_identifier_hg19	gene_symbol	gene_id	cell_type	fold_change_effect_size	log_2_FC_effect_size	pct_change_effect_size	standard_error_fold_change	standard_error_log_2_FC	standard_error_pct_change	lower_CI_95_fold_change	upper_CI_95_fold_change	lower_CI_95_log_2_FC	upper_CI_95_log_2_FC	lower_CI_95_pct_change	upper_CI_95_pct_change	sceptre_p_value	sceptre_adj_p_value	significant	distance_to_gencode_gene_TSS	distance_to_abc_canonical_TSS	chrTSS_hg38	startTSS_hg38	endTSS_hg38	element_location	gencode_promoter_overlap	abc_tss_overlap	gencode_protein_coding_gene_body_overlap	DistalElement_Gene	DistalPromoter_Gene	selfPromoter	Positive_Control_DistalElement_Gene	Positive_Control_selfPromoter	Random_DistalElement_Gene	power_at_effect_size_2	power_at_effect_size_3	power_at_effect_size_5	power_at_effect_size_10	power_at_effect_size_15	power_at_effect_size_20	power_at_effect_size_25	power_at_effect_size_50	intended_positive_control_distal_element_target_gene	intended_positive_control_target_gene	design_file_target_name	design_file_type	guide_ids	include_in_fdr	sceptre_adj_p_value_wo_pos_controls	significant_wo_pos_controls	power_at_effect_size_2_wo_pos_controls	power_at_effect_size_3_wo_pos_controls	power_at_effect_size_5_wo_pos_controls	power_at_effect_size_10_wo_pos_controls	power_at_effect_size_15_wo_pos_controls	power_at_effect_size_20_wo_pos_controls	power_at_effect_size_25_wo_pos_controls	power_at_effect_size_50_wo_pos_controls	mean_sim_pert_cells	resized_merged_targeting_chr_hg38	resized_merged_targeting_start_hg38	resized_merged_targeting_end_hg38	resized_merged_element_gene_pair_identifier_hg38
chr1:3772510-3773036	chr1	3772510	3773036	chr1:3689074-3689600	chr1	3689074	3689600	CEP104|chr1:3772510-3773036	CEP104|chr1:3689074-3689600	CEP104	ENSG00000116198	K562	1.1267002678165696	0.17210377136864632	12.670026781654007	0.08849860432442741	0.1133189555655916	8.84986043244274	0.953243003340692	1.3001575322924477	-0.05000138153991321	0.3942089242772059	-4.675699665933765	30.01575322924178	0.112	0.6037525179856116	FALSE	84441	84460	chr1	3857213	3857214	promoter	SMIM1	SMIM1	SMIM1	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	0.01	0.01	0	0.06	0.11	0.41	0.52	1	NA	SMIM1	SMIM1_1_TSS_AND_SMIM1_2_TSS	tss_pos	K562_Random_Screen_Crop_1,K562_Random_Screen_Crop_2,K562_Random_Screen_Crop_3,K562_Random_Screen_Crop_4,K562_Random_Screen_Crop_5,K562_Random_Screen_Crop_6,K562_Random_Screen_Crop_7,K562_Random_Screen_Crop_8,K562_Random_Screen_Crop_9,K562_Random_Screen_Crop_10,K562_Random_Screen_Crop_11,K562_Random_Screen_Crop_12,K562_Random_Screen_Crop_13,K562_Random_Screen_Crop_14,K562_Random_Screen_Crop_15	TRUE	0.666235294117647	FALSE	0.01	0.01	0	0.05	0.08	0.26	0.38	1	572	chr1	3772511	3773036	CEP104|chr1:3772511-3773036
chr1:3772510-3773036	chr1	3772510	3773036	chr1:3689074-3689600	chr1	3689074	3689600	LRRC47|chr1:3772510-3773036	LRRC47|chr1:3689074-3689600	LRRC47	ENSG00000130764	K562	1.025081017082652	0.03573793736424825	2.508101708267141	0.04545350863673122	0.06397109146342574	4.545350863673122	0.9359921401546588	1.114169894010645	-0.0896454019040662	0.16112127663256268	-6.400785984532179	11.41698940106646	0.648	0.9337430769230768	FALSE	23725	23731	chr1	3796503	3796504	promoter	SMIM1	SMIM1	SMIM1	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	0.02	0.04	0.08	0.2	0.52	0.87	0.98	1	NA	SMIM1	SMIM1_1_TSS_AND_SMIM1_2_TSS	tss_pos	K562_Random_Screen_Crop_1,K562_Random_Screen_Crop_2,K562_Random_Screen_Crop_3,K562_Random_Screen_Crop_4,K562_Random_Screen_Crop_5,K562_Random_Screen_Crop_6,K562_Random_Screen_Crop_7,K562_Random_Screen_Crop_8,K562_Random_Screen_Crop_9,K562_Random_Screen_Crop_10,K562_Random_Screen_Crop_11,K562_Random_Screen_Crop_12,K562_Random_Screen_Crop_13,K562_Random_Screen_Crop_14,K562_Random_Screen_Crop_15	TRUE	0.9432403038784488	FALSE	0	0.01	0.03	0.11	0.3	0.82	0.94	1	572	chr1	3772511	3773036	LRRC47|chr1:3772511-3773036
chr1:3772510-3773036	chr1	3772510	3773036	chr1:3689074-3689600	chr1	3689074	3689600	SMIM1|chr1:3772510-3773036	SMIM1|chr1:3689074-3689600	SMIM1	ENSG00000235169	K562	0.5769822233506927	-0.7934012243335458	-42.30177766493092	0.02724237439442129	0.06811724321874621	2.72423743944213	0.523587169537627	0.6303772771637585	-0.9269110210422884	-0.6598914276248031	-47.64128304623749	-36.962272283624344	4.81934726098095e-50	8.02474867256228e-48	TRUE	12	13	chr1	3772788	3772789	promoter	SMIM1	SMIM1	SMIM1	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	0.02	0.05	0.08	0.36	0.68	0.95	1	1	NA	SMIM1	SMIM1_1_TSS_AND_SMIM1_2_TSS	tss_pos	K562_Random_Screen_Crop_1,K562_Random_Screen_Crop_2,K562_Random_Screen_Crop_3,K562_Random_Screen_Crop_4,K562_Random_Screen_Crop_5,K562_Random_Screen_Crop_6,K562_Random_Screen_Crop_7,K562_Random_Screen_Crop_8,K562_Random_Screen_Crop_9,K562_Random_Screen_Crop_10,K562_Random_Screen_Crop_11,K562_Random_Screen_Crop_12,K562_Random_Screen_Crop_13,K562_Random_Screen_Crop_14,K562_Random_Screen_Crop_15	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr1	3772511	3773036	SMIM1|chr1:3772511-3773036
chr1:3774866-3775167	chr1	3774866	3775167	chr1:3691430-3691731	chr1	3691430	3691731	CEP104|chr1:3774866-3775167	CEP104|chr1:3691430-3691731	CEP104	ENSG00000116198	K562	0.9583817280445152	-0.06132769209339431	-4.1618271955508925	0.0637252329733407	0.09592845408031632	6.37252329733407	0.8334802714167675	1.083283184672263	-0.2493474620908143	0.12669207790402567	-16.65197285832567	8.328318467223884	0.536	0.8998987228321758	FALSE	82198	82216.5	chr1	3857213	3857214	distal	NA	NA	SMIM1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0.01	0.01	0.01	0.07	0.25	0.43	0.64	1	SMIM1	NA	chr1:3691430-3691731	DE	K562_Random_Screen_Crop_16,K562_Random_Screen_Crop_17,K562_Random_Screen_Crop_18,K562_Random_Screen_Crop_19,K562_Random_Screen_Crop_20,K562_Random_Screen_Crop_21,K562_Random_Screen_Crop_22,K562_Random_Screen_Crop_23,K562_Random_Screen_Crop_24,K562_Random_Screen_Crop_25,K562_Random_Screen_Crop_26,K562_Random_Screen_Crop_27,K562_Random_Screen_Crop_28,K562_Random_Screen_Crop_29,K562_Random_Screen_Crop_30	TRUE	0.9135337078651684	FALSE	0	0	0.01	0.03	0.15	0.28	0.51	1	798	chr1	3774767	3775266	CEP104|chr1:3774767-3775266
chr1:3774866-3775167	chr1	3774866	3775167	chr1:3691430-3691731	chr1	3691430	3691731	LRRC47|chr1:3774866-3775167	LRRC47|chr1:3691430-3691731	LRRC47	ENSG00000130764	K562	0.9913687374304928	-0.01250633039534535	-0.863126256948731	0.03500088673146646	0.05093524115464993	3.5000886731466467	0.9227669994368186	1.0599704754241672	-0.1123394030584592	0.08732674226776851	-7.723300056316159	5.997047542418697	0.776	0.9634743993371998	FALSE	21482	21487.5	chr1	3796503	3796504	distal	NA	NA	SMIM1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0.03	0.05	0.06	0.24	0.64	0.9	1	1	SMIM1	NA	chr1:3691430-3691731	DE	K562_Random_Screen_Crop_16,K562_Random_Screen_Crop_17,K562_Random_Screen_Crop_18,K562_Random_Screen_Crop_19,K562_Random_Screen_Crop_20,K562_Random_Screen_Crop_21,K562_Random_Screen_Crop_22,K562_Random_Screen_Crop_23,K562_Random_Screen_Crop_24,K562_Random_Screen_Crop_25,K562_Random_Screen_Crop_26,K562_Random_Screen_Crop_27,K562_Random_Screen_Crop_28,K562_Random_Screen_Crop_29,K562_Random_Screen_Crop_30	TRUE	0.9689686160178358	FALSE	0.01	0.04	0.01	0.15	0.56	0.78	0.97	1	798	chr1	3774767	3775266	LRRC47|chr1:3774767-3775266
chr1:3774866-3775167	chr1	3774866	3775167	chr1:3691430-3691731	chr1	3691430	3691731	SMIM1|chr1:3774866-3775167	SMIM1|chr1:3691430-3691731	SMIM1	ENSG00000235169	K562	0.44615835509481966	-1.1643722377421215	-55.38416449051824	0.02191060413040376	0.07085000103852539	2.1910604130403764	0.4032135709992283	0.48910313919041104	-1.3032382397776312	-1.0255062357066118	-59.67864290007738	-51.0896860809591	3.0448389881424067e-121	1.901248211512588e-118	TRUE	2255	2230.5	chr1	3772788	3772789	distal	NA	NA	SMIM1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0.04	0.04	0.14	0.49	0.86	0.98	1	1	SMIM1	NA	chr1:3691430-3691731	DE	K562_Random_Screen_Crop_16,K562_Random_Screen_Crop_17,K562_Random_Screen_Crop_18,K562_Random_Screen_Crop_19,K562_Random_Screen_Crop_20,K562_Random_Screen_Crop_21,K562_Random_Screen_Crop_22,K562_Random_Screen_Crop_23,K562_Random_Screen_Crop_24,K562_Random_Screen_Crop_25,K562_Random_Screen_Crop_26,K562_Random_Screen_Crop_27,K562_Random_Screen_Crop_28,K562_Random_Screen_Crop_29,K562_Random_Screen_Crop_30	TRUE	2.2169472672664864e-117	TRUE	0.02	0.01	0.07	0.39	0.81	0.96	1	1	798	chr1	3774767	3775266	SMIM1|chr1:3774767-3775266
chr1:3796254-3796754	chr1	3796254	3796754	chr1:3712818-3713318	chr1	3712818	3713318	CEP104|chr1:3796254-3796754	CEP104|chr1:3712818-3713318	CEP104	ENSG00000116198	K562	0.9648867616205092	-0.05156845616942902	-3.51132383795143	0.06407642433718064	0.09580682760523272	6.407642433718063	0.8392969699196351	1.0904765533213832	-0.23934983827568512	0.1362129259368271	-16.070303008038834	9.047655332135976	0.568	0.9105742404792468	FALSE	60710	60729	chr1	3857213	3857214	promoter	LRRC47	LRRC47	LRRC47	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	0	0.01	0.01	0.1	0.22	0.45	0.73	1	NA	LRRC47	LRRC47_TSS	tss_pos	K562_Random_Screen_Crop_31,K562_Random_Screen_Crop_32,K562_Random_Screen_Crop_33,K562_Random_Screen_Crop_34,K562_Random_Screen_Crop_35,K562_Random_Screen_Crop_36,K562_Random_Screen_Crop_37,K562_Random_Screen_Crop_38,K562_Random_Screen_Crop_39,K562_Random_Screen_Crop_40,K562_Random_Screen_Crop_41,K562_Random_Screen_Crop_42,K562_Random_Screen_Crop_43,K562_Random_Screen_Crop_44,K562_Random_Screen_Crop_45	TRUE	0.9231267857142856	FALSE	0	0.01	0	0.07	0.14	0.37	0.64	1	761	chr1	3796255	3796754	CEP104|chr1:3796255-3796754
chr1:3796254-3796754	chr1	3796254	3796754	chr1:3712818-3713318	chr1	3712818	3713318	LRRC47|chr1:3796254-3796754	LRRC47|chr1:3712818-3713318	LRRC47	ENSG00000130764	K562	0.8381705607891422	-0.2546842445585958	-16.182943921084103	0.03674106702181954	0.06324029698614385	3.674106702181954	0.7661580694263759	0.9101830521519084	-0.3786352266514378	-0.13073326246575384	-23.384193057360733	-8.981694784807473	5.189638713541211e-6	2.645303597317299e-4	TRUE	6	0	chr1	3796503	3796504	promoter	LRRC47	LRRC47	LRRC47	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	0.06	0.02	0.07	0.35	0.68	0.95	1	1	NA	LRRC47	LRRC47_TSS	tss_pos	K562_Random_Screen_Crop_31,K562_Random_Screen_Crop_32,K562_Random_Screen_Crop_33,K562_Random_Screen_Crop_34,K562_Random_Screen_Crop_35,K562_Random_Screen_Crop_36,K562_Random_Screen_Crop_37,K562_Random_Screen_Crop_38,K562_Random_Screen_Crop_39,K562_Random_Screen_Crop_40,K562_Random_Screen_Crop_41,K562_Random_Screen_Crop_42,K562_Random_Screen_Crop_43,K562_Random_Screen_Crop_44,K562_Random_Screen_Crop_45	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr1	3796255	3796754	LRRC47|chr1:3796255-3796754
chr1:3796254-3796754	chr1	3796254	3796754	chr1:3712818-3713318	chr1	3712818	3713318	SMIM1|chr1:3796254-3796754	SMIM1|chr1:3712818-3713318	SMIM1	ENSG00000235169	K562	1.0223532340593997	0.03189374909150022	2.235323405939571	0.02707566476029406	0.03820785808379296	2.7075664760294065	0.9692849311292232	1.075421536989576	-0.04299365275273398	0.10678115093573444	-3.0715068870780655	7.542153698957208	0.344	0.8049943785134289	FALSE	23743	23718	chr1	3772788	3772789	promoter	LRRC47	LRRC47	LRRC47	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	0.03	0.04	0.1	0.41	0.81	1	1	1	NA	LRRC47	LRRC47_TSS	tss_pos	K562_Random_Screen_Crop_31,K562_Random_Screen_Crop_32,K562_Random_Screen_Crop_33,K562_Random_Screen_Crop_34,K562_Random_Screen_Crop_35,K562_Random_Screen_Crop_36,K562_Random_Screen_Crop_37,K562_Random_Screen_Crop_38,K562_Random_Screen_Crop_39,K562_Random_Screen_Crop_40,K562_Random_Screen_Crop_41,K562_Random_Screen_Crop_42,K562_Random_Screen_Crop_43,K562_Random_Screen_Crop_44,K562_Random_Screen_Crop_45	TRUE	0.8296336535276582	FALSE	0.01	0.02	0.05	0.3	0.75	0.98	1	1	761	chr1	3796255	3796754	SMIM1|chr1:3796255-3796754
chr1:3856983-3857483	chr1	3856983	3857483	chr1:3773547-3774047	chr1	3773547	3774047	CEP104|chr1:3856983-3857483	CEP104|chr1:3773547-3774047	CEP104	ENSG00000116198	K562	0.7561171164700176	-0.403318381255477	-24.38828835300002	0.06908952528446574	0.13182496908760802	6.908952528446574	0.6207016469124647	0.8915325860275705	-0.6616953206671887	-0.14494144184376528	-37.92983530875531	-10.846741397244736	7.232047663635246e-4	0.02736855209273682	TRUE	19	0	chr1	3857213	3857214	promoter	DFFB,CEP104	CEP104,DFFB	CEP104,DFFB	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	0	0	0.02	0.08	0.12	0.24	0.49	1	NA	CEP104	CEP104_TSS	tss_pos	K562_Random_Screen_Crop_46,K562_Random_Screen_Crop_47,K562_Random_Screen_Crop_48,K562_Random_Screen_Crop_49,K562_Random_Screen_Crop_50,K562_Random_Screen_Crop_51,K562_Random_Screen_Crop_52,K562_Random_Screen_Crop_53,K562_Random_Screen_Crop_54,K562_Random_Screen_Crop_55,K562_Random_Screen_Crop_56,K562_Random_Screen_Crop_57,K562_Random_Screen_Crop_58,K562_Random_Screen_Crop_59,K562_Random_Screen_Crop_60	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr1	3856984	3857483	CEP104|chr1:3856984-3857483
